Name,Range_km,Efficiency,Weight_kg,Acceleration(0-100),Firth_stop_range_km,Battery_kWh,Fast_charger(kW),Towing_kg,Cargo_volume,Price/Range(km),Price_Euro
BYD TANG,355,243,2705,4.6,342,86.4,108,1500,235,199,71.4
BMW i4 M60 xDrive,465,175,2285,3.7,523,81.3,130,1600,470,167,72.9
Opel Ampera-e,335,173,1691,7.3,286,58.0,37,0,381,115,42.99
Lexus RZ 450e,350,183,2130,5.6,373,64.0,85,750,522,183,67.89
Tesla Model X Long Range,440,216,2505,4.6,463,95.0,110,2250,0,206,85.99
Polestar 2,390,192,2198,4.7,412,75.0,97,1500,440,150,57.9
Volvo EX90 Twin Motor,505,212,2754,5.9,546,107.0,150,2200,703,187,91.7
Peugeot e-208 54 kWh,335,152,1530,8.2,362,50.8,79,0,309,105,37.525
Renault Kangoo E-Tech Electric,225,200,1870,12.6,221,45.0,50,1500,950,159,35.85
CUPRA Born 170 kW - 59 kWh,360,164,1841,6.7,416,59.0,110,0,385,107,41.45
Lexus RZ 500e,395,182,2100,4.6,431,72.0,110,1500,522,166,63.0
Toyota C-HR+ 77 kWh AWD,385,187,2080,5.2,417,72.0,110,1500,416,136,53.99
Dacia Spring Electric 45,165,152,1012,19.1,151,25.0,29,0,300,134,22.55
Nissan e-NV200 Evalia,170,218,1667,14.0,157,37.0,40,0,2000,248,43.73
Ford Capri Extended Range RWD,470,168,2098,6.4,526,79.0,135,1000,572,103,51.4
Skoda Enyaq iV 80x,425,181,2193,6.9,458,77.0,103,1200,585,126,49.05
Lexus RZ 350e,400,180,2005,7.5,433,72.0,110,750,522,144,57.1
MG MG4 Electric 77 kWh,425,175,1826,6.5,454,74.4,110,500,363,103,45.99
BMW i4 M50,450,181,2290,3.9,514,81.3,130,1600,470,173,72.1
Kia e-Niro 64 kWh,375,171,1812,7.8,349,64.0,61,0,451,108,38.105
Citroen C5 Aircross Comfort Range,375,197,2184,8.9,389,73.7,90,1250,565,104,42.59
Tesla Model S Performance,535,183,2307,2.8,595,98.0,125,0,894,194,98.99
Volvo XC40 Recharge Single Motor ER,400,198,2075,7.3,436,79.0,110,1500,441,131,53.0
XPENG G9 RWD Long Range,480,194,2285,6.4,585,93.1,212,1500,731,132,63.6
Mercedes-Benz EQS 450+,635,170,2480,6.2,702,107.8,169,750,610,179,109.551
Peugeot e-208 51 kWh,315,153,1530,8.2,338,48.1,76,0,309,124,40.875
Toyota Urban Cruiser 61.1 kWh AWD,310,193,1935,7.4,286,59.8,60,750,238,136,44.28
Audi Q4 e-tron 40,325,182,2035,8.1,378,59.0,110,1000,520,148,46.15
Kia EV6 Long Range AWD,400,185,2090,5.2,500,74.0,196,1600,500,146,55.98
Audi Q4 e-tron 50 quattro,385,199,2210,6.2,409,76.6,103,1200,520,168,57.9
Nissan LEAF e+ 62 kWh,340,174,1756,6.9,291,59.0,44,0,420,121,41.1
NIO ET5 Long Range,500,180,2235,4.0,494,90.0,100,1400,386,140,68.5
Mercedes-Benz EQS 450 4MATIC,655,180,2655,5.7,704,118.0,160,1700,620,185,113.359
Volkswagen ID.3 Pro,350,166,1805,9.6,372,58.0,75,0,385,100,34.995
Porsche Taycan Turbo GT,475,204,2365,2.3,610,97.0,267,0,410,496,240.0
Volkswagen ID. Buzz LWB GTX,380,226,2758,6.5,425,86.0,145,1600,1340,196,74.928
Leapmotor C10 RWD 69.9 kWh,355,197,2055,7.5,329,69.9,70,1500,467,107,37.6
Mitsubishi Eclipse Cross 87 kWh,480,181,1901,7.9,479,87.0,95,1100,545,98,47.99
Volkswagen ID. Buzz NWB Pro,370,214,2492,7.6,405,79.0,135,1200,1121,165,60.892
Tesla Model Y Long Range AWD Launch Series,455,165,2072,4.3,535,75.0,124,1600,971,142,61.97
BMW i4 eDrive35,435,154,2070,6.0,493,67.1,95,1600,470,136,57.6
GWM ORA 03 48 kWh,260,175,1615,8.3,247,45.4,45,0,228,123,26.99
Nissan Micra Extended Range 52 kWh,330,158,1527,8.0,345,52.0,75,500,326,98,32.99
Porsche Taycan,410,173,2125,5.4,510,71.0,171,0,491,218,88.399
Mercedes-Benz EQA 250,360,185,2040,8.9,368,66.5,99,750,340,144,47.541
Opel Mokka Electric,285,178,1615,9.0,306,50.8,79,0,310,124,36.74
Polestar 2 Long Range Single Motor,470,168,2084,6.2,525,79.0,110,1500,446,112,49.975
Porsche Taycan,495,166,2165,4.8,622,82.3,195,0,491,207,101.5
Volkswagen ID.3 Pro S,465,166,1957,7.1,511,77.0,120,0,385,92,47.595
Tesla Model S Long Range,530,179,2255,3.8,561,95.0,110,0,894,155,79.99
Mercedes-Benz EQE 350+,555,173,2415,6.1,597,96.0,141,750,430,132,71.412
Volvo EX90 Twin Motor Performance,485,221,2762,4.9,523,107.0,150,2200,703,213,96.8
XPENG P7+ AWD Performance,425,172,2275,4.3,563,73.0,260,1500,573,127,53.6
Volkswagen ID.4 GTX,420,183,2256,5.4,460,77.0,120,1200,543,139,53.255
Opel Corsa Electric 54 kWh,335,152,1544,8.1,359,50.8,79,0,267,93,31.49
Porsche Taycan 4S,395,180,2215,4.0,500,71.0,171,0,491,272,108.867
Hyundai IONIQ 9 Long Range RWD,505,210,2549,9.4,575,106.0,195,1600,426,139,68.5
Volkswagen ID.7 Tourer GTX,500,172,2336,5.5,566,86.0,145,1800,605,132,64.065
Ford Explorer Extended Range AWD,440,180,2167,5.3,493,79.0,135,1200,536,127,52.43
Mini Cooper SE,180,161,1440,7.3,183,28.9,43,0,211,179,32.5
Volkswagen ID.4 1st,410,188,2124,8.5,436,77.0,124,1000,543,116,48.691
Maxus MIFA 9,360,233,2485,9.2,340,84.0,103,1000,521,200,68.99
Kia EV9 99.8 kWh AWD GT-Line,425,226,2648,5.3,471,96.0,196,2500,385,193,82.38
Audi Q6 SUV e-tron performance,490,194,2275,6.6,568,94.9,186,2000,590,145,68.8
Tesla Model S 85,405,199,2175,5.6,408,80.75,95,0,895,220,87.4
Volkswagen ID.4 Pure,285,182,1978,9.0,318,52.0,87,1000,543,141,40.335
Mercedes-Benz EQS SUV 450 4MATIC,530,223,2840,6.1,543,118.0,160,1800,645,247,114.609
XPENG G6 RWD Standard Range,365,179,2100,6.9,439,65.34,140,1500,571,123,43.6
Volvo EX90 Twin Motor,480,213,2725,5.5,567,102.0,200,2200,703,204,96.19
Hyundai Kona Electric 64.8 kWh,385,168,1790,8.1,379,64.8,70,750,493,106,41.34
Skoda Enyaq 60,360,164,1998,8.1,416,59.0,110,1000,585,121,44.4
Volkswagen ID.7 Pro S,525,164,2226,6.6,600,86.0,145,1000,532,114,58.985
Alpine A290 Electric 220 hp,305,170,1554,6.4,320,52.0,75,500,326,132,41.9
Volvo EX60 Cross Country P10 AWD,490,186,2370,4.7,603,91.0,215,2400,575,143,68.99
Kia EV9 99.8 kWh RWD,450,213,2501,9.4,502,96.0,196,900,423,155,64.99
Opel Grandland Electric 73 kWh,370,197,2207,9.0,388,73.0,90,1200,550,120,46.95
Volkswagen ID.4 GTX,435,182,2248,5.4,485,79.0,135,1800,543,129,53.255
Mercedes-Benz EQB 300 4MATIC,345,193,2165,8.0,357,66.5,100,1700,495,174,55.519
Volvo XC40 P8 AWD Recharge,335,224,2188,4.9,342,75.0,97,1500,450,173,60.437
Smart #3 Brabus,350,177,1985,3.7,365,62.0,90,1600,385,145,50.99
Tesla Model X P100D,420,226,2572,3.1,413,95.0,100,2250,0,374,156.9
Jaguar I-Pace EV400,380,223,2208,4.8,360,84.7,83,750,505,205,77.3
Nissan Ariya 63kWh,335,188,1980,7.5,340,63.0,70,750,468,124,43.49
Jeep Compass Electric 74 kWh,370,199,2185,8.5,387,73.7,90,1000,550,124,50.4
Skoda Elroq 85x,445,173,2141,6.6,493,77.0,120,1800,470,104,46.45
Skoda Enyaq Coupe 85,470,164,2140,6.7,493,77.0,120,1000,570,107,51.15
Mercedes-Benz EQE 300,525,170,2375,6.9,570,89.0,120,750,430,128,67.187
Volkswagen ID.4 Pure,285,182,1966,10.9,301,52.0,70,1000,543,146,36.95
Porsche Macan 4 Electric,470,202,2405,5.2,553,94.9,186,2000,624,180,84.1
Peugeot e-2008,270,171,1623,8.5,292,46.3,74,0,434,146,37.9
Alfa Romeo Junior Elettrica 54 kWh,320,159,1620,9.0,343,50.8,79,0,400,122,39.5
Kia EV6 GT,395,203,2220,3.5,488,80.0,205,1800,500,175,69.99
Ford Capri Standard Range RWD,350,166,2001,8.0,377,58.0,85,1000,572,119,42.4
Volkswagen ID.3 Pro Performance,350,166,1812,7.3,369,58.0,75,0,385,129,43.995
Tesla Model X Plaid,475,200,2515,2.9,531,95.0,140,2250,608,265,125.97
Aiways U5,315,190,1795,7.5,313,60.0,75,0,432,121,35.993
Mercedes-Benz EQA 350 4MATIC,350,190,2110,6.0,359,66.5,100,1800,340,178,56.424
Audi e-tron GT quattro,540,180,2355,4.0,700,97.0,267,0,482,192,108.9
Volkswagen ID.4 Pure,285,182,1975,9.0,318,52.0,87,1000,543,142,40.335
Smart ForTwo Electric Drive,100,167,1085,11.5,71,16.7,0,0,260,215,21.94
Kia EV6 GT,360,206,2200,3.5,444,74.0,196,1800,500,198,72.99
Volvo ES90 Twin Motor,535,191,2610,5.5,642,102.0,200,2000,468,168,88.99
Suzuki e VITARA 61 kWh 4WD AllGrip,310,193,1935,7.4,286,59.8,60,750,238,126,39.49
BMW i3 60 Ah,115,163,1270,7.2,132,18.8,40,0,260,297,34.95
DS Automobiles N°8 FWD Long Range,545,178,2255,7.8,566,97.2,135,1200,620,115,63.2
Toyota bZ4X FWD 73.1 kWh,385,179,2000,7.4,423,69.0,110,750,452,128,47.99
Nissan LEAF Standard Range 52 kWh,330,160,1864,8.6,349,52.9,71,975,437,108,35.95
Volkswagen ID.7 Tourer Pro,470,164,2191,6.6,535,77.0,125,1000,605,117,54.795
VinFast VF 6 Eco,315,189,2050,10.3,322,59.6,90,0,0,113,34.99
Citroen e-Berlingo M 50 kWh,205,226,1739,11.7,219,46.3,74,750,571,190,37.79
Skoda Enyaq 85x,455,169,2186,6.7,501,77.0,120,1800,585,113,51.5
BMW iX1 xDrive30,390,167,2085,5.6,419,65.2,95,1200,490,148,56.6
Mercedes-Benz B 250e,150,187,1725,7.9,106,28.0,0,0,501,256,39.151
Hyundai IONIQ 5 Long Range AWD,365,192,2095,5.2,451,70.0,179,1600,555,143,49.9
Audi A6 Avant e-tron quattro,560,169,2370,4.5,666,94.9,186,2100,529,150,81.45
Porsche Macan Electric,495,192,2295,5.7,578,94.9,186,2000,624,165,80.7
Mercedes-Benz CLA Shooting Brake 350 4MATIC,555,153,2155,5.0,704,85.0,208,1800,556,116,61.653
Polestar 3 Long Range Dual motor,515,208,2654,5.0,555,107.0,150,2200,516,168,85.59
BMW iX3,385,192,2260,6.8,403,74.0,94,750,510,175,67.3
BMW i3s 120 Ah,230,165,1365,6.9,214,37.9,46,0,260,183,42.6
Opel Astra Sports Tourer Electric,310,164,1760,9.3,336,50.8,79,0,516,132,43.49
Toyota Proace Verso L 75 kWh,265,260,2240,13.3,252,69.0,77,1000,989,219,58.195
KGM Musso EV 4WD,360,224,2385,8.0,351,80.6,100,1800,907,131,45.99
Nissan LEAF 30 kWh,170,165,1538,11.5,173,28.0,45,0,370,191,33.96
Citroen e-C4 X,285,162,1659,9.7,315,46.3,74,0,510,129,35.275
Mazda MX-30,170,176,1720,9.7,159,30.0,34,0,366,198,34.49
XPENG G6 AWD Performance,475,184,2195,4.1,565,87.5,180,1500,571,111,51.6
Cadillac LYRIQ 600 E4,460,222,2774,5.3,492,102.0,165,1587,793,180,83.0
Volkswagen ID.7 Tourer Pro,470,164,2191,6.6,535,77.0,125,1000,605,117,54.905
Renault 4 E-Tech 40kWh 120hp,245,163,1485,9.2,253,40.0,55,750,420,112,29.4
Hyundai IONIQ 9 Performance AWD,485,219,2685,5.2,550,106.0,195,2500,390,177,86.75
Volkswagen e-Up!,205,158,1235,11.9,188,32.3,29,0,250,118,21.421
Mini Countryman SE ALL4,365,177,2075,5.6,384,64.7,86,1200,460,125,49.5
Volvo EX40 Single Motor ER,400,198,2075,7.3,436,79.0,110,1500,441,135,55.49
Kia EV6 Standard Range 2WD,345,174,1955,8.7,425,60.0,150,750,542,131,44.99
BMW iX2 eDrive20,395,164,1960,8.6,422,64.7,86,750,525,135,49.4
NIO EL8 Long Range,440,205,2633,4.1,524,90.0,190,2000,265,232,103.9
Jaguar I-Pace EV400,380,223,2208,4.8,360,84.7,83,750,505,207,76.815
XPENG P7 AWD Performance,460,180,2215,4.1,519,82.7,135,0,440,130,58.6
Mercedes-Benz EQB 300 4MATIC,340,196,2175,8.0,350,66.5,99,0,495,181,55.519
BMW iX M60,485,217,2659,3.8,510,105.2,139,2500,500,285,136.1
MG MG4 Electric XPOWER,320,193,1878,3.8,357,61.7,107,500,363,139,46.99
Jaguar I-Pace EV400,380,223,2226,4.8,354,84.7,83,750,532,235,92.4
Audi A6 Sportback e-tron,485,156,2175,6.0,587,75.8,150,2100,529,137,62.8
Dacia Spring Electric,160,156,1020,19.1,151,25.0,29,0,300,120,20.49
XPENG G9 AWD Performance,465,200,2415,3.9,570,93.1,212,1500,731,156,71.6
Mini Cooper JCW,290,170,1730,5.9,308,49.2,75,0,200,156,40.65
BMW i5 eDrive40 Sedan,480,169,2195,6.0,536,81.2,123,1500,490,157,70.2
Ford e-Tourneo Courier,200,218,1724,11.0,216,43.6,80,750,0,176,35.999
Porsche Cayenne Turbo Electric,495,218,2720,2.5,636,108.0,290,3000,837,328,165.5
Porsche Taycan 4 Cross Turismo,510,190,2355,4.7,655,97.0,267,0,530,225,113.1
NIO ET5 Touring Long Range,485,186,2285,4.0,527,90.0,135,1400,450,146,68.5
Skoda Elroq RS,455,174,2190,5.4,510,79.0,135,1800,470,117,53.05
Porsche Taycan 4S,490,168,2245,3.7,611,82.3,195,0,491,244,120.9
Polestar 3 Long Range Single motor,530,202,2478,7.8,571,107.0,150,1500,516,150,78.59
Mercedes-Benz EQA 250,395,168,2040,8.6,405,66.5,99,750,340,137,50.777
Mercedes-Benz EQE SUV 350+,475,202,2490,6.9,503,96.0,141,750,520,186,86.811
Ford Capri Extended Range AWD,455,174,2175,5.3,517,79.0,135,1200,572,128,54.831
TOGG T10X Standard Range RWD,265,189,2099,7.4,323,50.0,70,0,441,129,34.295
Opel Corsa Electric 50 kWh,290,160,1544,8.7,315,46.3,74,0,267,102,29.99
Tesla Model X AWD,490,194,2423,3.9,544,95.0,140,2300,608,237,115.97
Ford Explorer Extended Range AWD,430,179,2167,5.3,471,77.0,120,1800,532,118,52.9
Volkswagen e-Golf,125,164,1585,10.4,133,20.5,41,0,380,270,34.9
Smart #1 Brabus,325,191,1975,3.9,350,62.0,90,1600,328,152,48.99
Kia Soul EV,170,176,1580,11.2,172,30.0,40,0,281,190,29.49
Mercedes-Benz EQS 500 4MATIC,640,184,2655,4.9,682,118.0,160,1700,620,212,125.378
Volkswagen ID.5 Pro,455,169,2131,6.7,508,77.0,120,1000,549,115,51.27
Nissan LEAF 24 kWh,135,163,1505,11.5,143,22.0,34,0,370,213,29.69
Tesla Model X Performance,470,209,2552,3.1,516,98.0,125,2250,0,240,107.99
Volvo XC40 Recharge Pure Electric,305,220,2030,7.4,325,67.0,113,1500,450,164,48.65
Volvo XC40 Recharge Twin Motor,385,205,2170,4.8,414,79.0,110,1800,441,155,59.95
Hyundai Kona Electric 48 kWh,295,164,1690,8.8,288,48.4,50,300,493,135,41.99
Porsche Macan Electric,495,192,2295,5.7,578,94.9,186,2000,624,166,81.2
NIO ET5 Standard Range,410,179,2215,4.0,447,73.5,110,1400,386,149,59.5
Tesla Model X 75D,335,216,2427,5.2,336,72.5,80,2250,0,283,93.5
Lexus UX 300e,235,191,1860,7.5,199,45.0,32,0,316,198,47.55
Mercedes-Benz EQS SUV 580 4MATIC,530,223,2845,4.7,543,118.0,160,1800,645,303,147.923
Nissan Townstar EV Passenger,225,200,1872,12.6,221,45.0,50,1500,819,178,39.99
Renault Scenic E-Tech EV60 170hp,340,176,1822,8.6,357,60.0,80,1100,545,124,41.4
Opel Grandland Electric 97 kWh,490,198,2255,8.8,498,96.9,135,1150,550,104,51.75
Volvo XC40 Recharge Pure Electric,330,203,2023,7.4,355,67.0,113,1500,450,146,45.08
Ford Explorer Standard Range RWD,305,170,1908,8.7,338,52.0,85,1000,536,141,42.5
Polestar 2 Long Range Single Motor,475,166,2084,6.2,527,79.0,110,1500,448,112,52.69
Lucid Air Grand Touring,665,168,2435,3.0,757,112.0,174,0,910,196,129.0
Mini Aceman SE,290,170,1785,7.1,308,49.2,75,750,300,141,39.55
Ford Mustang Mach-E GT,425,214,2343,3.8,433,91.0,115,750,619,175,77.3
Audi Q6 SUV e-tron,395,192,2200,7.0,459,75.8,150,2000,590,167,63.5
Polestar 2 Long Range Dual Motor,455,174,2183,4.5,509,79.0,110,1500,448,127,56.99
Volvo C40 Recharge Twin Motor,400,198,2185,4.7,438,79.0,110,1800,450,154,61.4
Smart #3 Premium,355,175,1885,5.8,380,62.0,90,1600,385,128,46.49
Mercedes-Benz EQE 350+,525,173,2355,6.4,571,90.6,136,750,430,153,70.626
Volkswagen ID.5 Pro,460,167,2130,6.7,508,77.0,120,1000,549,117,48.97
Dacia Spring Electric 65,160,156,1032,13.7,149,25.0,29,0,343,119,18.9
Volvo XC40 Recharge Twin Pure Electric,350,214,2188,4.9,362,75.0,97,1800,450,171,56.15
Volvo EC40 Single Motor,360,186,2057,7.3,394,67.0,100,1500,435,152,52.69
Kia EV4 Hatchback 58.3 kWh,340,162,1805,7.4,364,55.0,80,500,435,111,37.59
Kia EV9 99.8 kWh AWD GT,420,229,2648,4.6,468,96.0,194,2500,385,217,89.99
XPENG G9 RWD Standard Range,410,191,2285,6.6,528,78.2,280,1500,731,146,59.6
Skoda Enyaq Coupe RS,470,168,2239,5.4,534,79.0,135,1800,570,126,60.85
Tesla Model S P85D,390,207,2262,3.3,393,80.75,95,0,895,300,115.0
Audi A6 Avant e-tron,465,163,2185,6.0,560,75.8,150,2100,529,146,64.45
Peugeot e-2008,260,178,1623,8.5,283,46.3,74,0,434,143,35.45
Mercedes-Benz EQS 450+,635,171,2515,6.1,702,108.4,169,750,620,180,109.551
BMW i5 eDrive40 Touring,465,175,2255,6.1,519,81.2,123,1500,570,167,72.2
Renault Scenic E-Tech EV60 170hp,340,176,1822,8.6,357,60.0,80,1100,545,117,40.4
Volkswagen ID.7 Pro,475,162,2180,6.5,541,77.0,125,1000,532,114,54.105
BMW iX2 xDrive30,385,168,2095,5.6,409,64.7,86,1200,525,159,56.5
Mercedes-Benz EQB 350 4MATIC,345,193,2165,6.2,357,66.5,100,1700,495,187,58.197
Mini Aceman E,230,167,1720,7.9,243,38.5,60,750,300,160,34.9
Mercedes-Benz EQS 580 4MATIC,640,184,2655,4.4,682,118.0,160,1700,620,245,141.705
Citroen e-C4 54 kWh,325,156,1646,9.1,353,50.8,79,0,380,109,34.1
BMW i4 xDrive40,495,164,2260,5.1,563,81.3,130,1600,470,132,64.1
BMW i5 M60 xDrive Sedan,420,193,2380,3.8,469,81.2,123,2000,490,255,99.5
Renault Zoe R240,145,161,1502,13.5,102,23.3,0,0,338,148,21.5
Toyota Urban Cruiser 61.1 kWh,330,181,1835,8.7,307,59.8,60,750,238,116,38.99
Ford Focus Electric,105,186,1700,11.4,75,19.55,0,0,237,358,39.99
Porsche Taycan Turbo S,400,209,2370,2.8,494,83.7,200,0,450,459,189.668
Volvo EX40 Single Motor,345,194,2040,7.3,378,67.0,100,1500,441,144,49.99
Kia PV5 Passenger 51.5 kWh,230,209,2065,12.8,257,48.0,75,750,1330,166,38.29
Hyundai Kona Electric 39 kWh,245,160,1610,9.9,223,39.2,37,0,361,145,34.85
MG Marvel R Performance,350,200,1995,4.9,335,70.0,81,750,357,148,50.99
Citroen e-C3 Aircross Comfort Range 44 kWh,240,183,1572,12.9,254,43.8,62,350,460,110,26.49
Hyundai Kona Electric 48.6 kWh,295,165,1685,9.9,291,48.6,50,300,493,128,38.34
Audi e-tron Sportback 50 quattro,295,219,2445,6.8,315,64.7,114,1800,677,244,71.35
Skoda Enyaq RS,460,172,2236,5.4,520,79.0,135,1200,585,127,58.6
Renault Kangoo Maxi ZE 33,160,194,1630,22.4,115,31.0,0,0,1300,236,38.0
Fisker Ocean One,525,203,2509,3.9,565,106.5,135,1820,476,134,69.95
Audi Q4 e-tron 55 quattro,395,195,2235,5.4,437,77.0,120,1200,520,160,59.0
Tesla Model S P90D,415,206,2262,3.3,408,85.5,90,0,895,292,120.3
Volkswagen ID.3 Pure Performance,275,164,1772,8.9,252,45.0,45,0,385,116,31.96
Peugeot e-308 SW,300,169,1791,10.0,322,50.8,79,0,548,142,45.765
Mercedes-Benz EQS SUV Maybach 680,490,241,3075,4.4,507,118.0,160,1800,440,441,200.634
Opel Corsa Electric 51 kWh,315,153,1544,8.1,338,48.1,76,0,267,118,38.045
BMW i5 eDrive40 Touring,455,178,2255,6.1,512,81.2,123,1500,570,171,72.2
CUPRA Born VZ,465,170,1999,5.6,517,79.0,135,0,385,111,52.87
Ford Capri Extended Range RWD,455,169,2098,6.4,477,77.0,120,1000,572,112,50.911
TOGG T10F Long Range AWD,465,183,2294,4.1,505,85.0,115,0,505,105,48.6
KGM Musso EV 4WD,360,224,2385,8.0,351,80.6,100,2300,907,131,45.99
Audi e-tron 50 quattro,280,231,2445,6.8,299,64.7,114,1800,722,251,69.1
Citroen e-Berlingo XL 50 kWh,230,217,1881,11.7,242,50.0,80,750,1050,169,37.94
Skoda Enyaq RS,460,172,2236,5.4,520,79.0,135,1800,585,125,58.6
Maserati Grecale Folgore,450,219,2555,4.1,450,98.6,110,1800,535,247,109.23
Peugeot e-208 50 kWh,295,157,1530,9.0,318,46.3,74,0,309,124,35.975
Volkswagen ID.3 GTX Performance,465,170,1993,5.6,526,79.0,135,0,385,108,48.725
Mercedes-Benz EQC 400 4MATIC,370,216,2495,5.1,366,80.0,99,1800,500,201,69.484
Volvo C40 Recharge Single Motor ER,420,188,2095,7.3,454,79.0,110,1500,450,128,54.45
Tesla Model X 90D,395,216,2464,5.0,387,85.5,90,0,0,287,113.3
BMW i3 94 Ah,165,165,1320,7.3,170,27.2,46,0,260,226,37.55
Audi e-tron Sportback 55 quattro,380,228,2565,5.7,399,86.5,147,1800,677,209,83.75
Lotus Eletre,495,220,2565,4.5,597,109.0,246,2250,657,202,96.99
Volkswagen ID.4 GTX,400,193,2239,6.3,425,77.0,103,1200,543,147,53.255
BMW iX2 eDrive20,405,161,1960,8.6,437,65.2,95,750,525,137,55.1
Toyota bZ4X FWD 57.7 kWh,305,177,1920,8.6,343,54.0,85,750,452,142,42.99
Mitsubishi i-MiEV,85,171,1160,15.9,98,14.5,30,0,166,310,23.79
Mercedes-Benz EQE 300,525,170,2405,7.3,566,89.0,120,750,430,137,67.187
Skoda Enyaq 85x,450,171,2230,6.7,501,77.0,120,1200,585,119,51.15
Polestar 2 Standard Range Single Motor,375,176,2013,7.4,414,66.0,113,1500,440,129,47.295
Zeekr 7X Core RWD,380,189,2395,6.0,492,72.0,240,2000,605,145,55.95
Kia e-Niro 64 kWh,375,171,1812,7.8,349,64.0,61,0,451,106,39.09
Mercedes-Benz EQV 300 Long,310,290,2635,12.1,285,90.0,95,0,1030,276,71.626
Porsche Taycan Turbo S,525,185,2370,2.4,674,97.0,267,0,450,391,209.9
Alpine A390 GT,470,189,2199,4.8,486,89.0,120,1350,532,146,67.5
Volkswagen ID.7 Tourer GTX,500,172,2339,5.5,570,86.0,145,1200,605,138,63.955
Suzuki e VITARA 49 kWh 2WD,270,177,1775,9.6,248,47.8,45,750,238,119,29.99
XPENG P7+ RWD Standard Range,375,160,2074,6.9,491,60.0,220,1500,573,124,46.6
Audi Q4 e-tron 35,285,182,1965,9.0,301,52.0,70,1000,520,173,44.7
MG MG5 Electric Standard Range,265,174,1637,7.7,270,46.0,52,500,479,139,35.49
Volvo EC40 Single Motor ER,420,188,2095,7.3,454,79.0,110,1500,435,135,57.19
Porsche Taycan 4 Cross Turismo,420,199,2320,5.1,520,83.7,200,0,530,238,98.514
Citroen e-C4 X 54 kWh,330,154,1659,9.3,359,50.8,79,0,510,119,36.325
BMW i7 eDrive50,520,196,2595,5.5,568,101.7,149,0,500,227,115.7
Porsche Taycan Plus,575,169,2245,4.8,750,97.0,267,0,491,186,107.224
Ford Mustang Mach-E ER AWD,445,204,2245,4.6,447,91.0,115,1500,619,148,65.9
BMW iX M70 xDrive,500,218,2655,3.8,524,108.9,150,2500,500,258,124.9
Polestar 2 Standard Range Single Motor,405,165,2020,6.4,454,67.0,100,1500,448,120,48.99
Ford Mustang Mach-E ER RWD,475,185,2161,6.1,482,88.0,105,1500,619,128,59.2
Skoda Enyaq RS,435,177,2251,5.5,480,77.0,120,1200,585,140,61.05
Volvo EX30 Cross Country,335,194,1960,3.7,361,65.0,101,1600,325,164,57.29
Kia e-Soul 64 kWh,370,173,1757,7.9,343,64.0,61,0,315,122,47.45
Peugeot e-208 50 kWh,295,157,1530,9.0,318,46.3,74,0,309,115,36.525
Volkswagen ID.3 Pro S,450,171,1934,7.9,479,77.0,103,0,385,96,41.995
Volkswagen ID.7 GTX,500,172,2325,5.5,572,86.0,145,1800,532,130,63.265
Alpine A390 GTS,470,189,2196,3.9,516,89.0,140,1350,532,168,77.0
Tesla Model S 75,380,191,2102,4.6,386,72.5,80,0,895,189,69.97
Peugeot e-308 58 kWh,345,161,1749,9.3,358,55.4,75,0,361,109,42.435
VinFast VF 8 Eco Extended Range,405,217,2530,5.9,411,87.7,105,1800,376,128,52.99
Audi RS e-tron GT,525,185,2395,2.8,682,97.0,267,0,427,282,147.5
MG MGS5 EV 49 kWh,275,171,1710,8.0,309,47.1,80,750,453,127,37.99
Audi Q8 SUV e-tron 50 quattro,425,209,2585,6.0,443,89.0,147,1800,631,179,75.9
DS Automobiles DS 3 E-Tense,300,169,1625,9.0,322,50.8,79,0,350,135,40.54
Mercedes-Benz EQE AMG 43 4MATIC,450,201,2535,4.2,490,90.6,136,750,430,240,104.756
Tesla Model S 70D,350,190,2156,5.4,369,66.5,95,0,895,240,83.5
Smart #1 Premium,335,185,1875,6.7,357,62.0,90,1600,338,132,44.99
Mercedes-Benz EQS 580 4MATIC,590,184,2635,4.3,654,108.4,169,750,620,267,141.705
Hyundai Kona Electric 64 kWh,390,164,1760,7.6,363,64.0,61,0,332,101,39.0
Polestar 2 Long Range Performance,450,176,2180,4.2,501,79.0,110,1500,446,139,58.775
Audi S6 Avant e-tron,530,179,2410,3.9,628,94.9,186,2100,529,199,101.15
Citroen e-C4 54 kWh,330,154,1636,9.2,359,50.8,79,0,380,118,35.925
Renault Zoe ZE40 R110,255,161,1502,11.4,232,41.0,40,0,338,118,29.99
DS Automobiles N°8 AWD Long Range,530,183,2364,5.4,552,97.2,135,1400,620,139,75.0
Smart #5 Pro+,475,202,2335,6.5,587,96.0,230,1600,702,109,50.9
Mercedes-Benz EQE 350 4MATIC,510,175,2475,6.3,547,89.0,120,750,430,157,74.149
Mercedes-Benz EQA 300 4MATIC,350,190,2110,7.7,359,66.5,100,1800,340,166,53.52
BMW i3 94 Ah,165,165,1320,7.3,170,27.2,46,0,260,218,36.8
Maserati GranTurismo Folgore,420,198,2335,2.7,531,83.0,217,0,270,480,198.212
Mercedes-Benz EQE 350,515,173,2405,6.4,556,89.0,120,750,430,157,70.995
Porsche Taycan Sport Turismo,460,179,2190,4.8,568,82.3,195,0,530,225,102.4
Zeekr X Long Range RWD,360,181,1930,5.6,392,65.0,101,1600,383,121,43.45
Volkswagen ID.4 Pro 4MOTION,435,177,2231,6.6,477,77.0,120,1200,543,117,49.02
