Name,Range_km,Efficiency,Weight_kg,Acceleration(0-100),Firth_stop_range_km,Battery_kWh,Fast_charger(kW),Towing_kg,Cargo_volume,Price/Range(km),Price_Euro
Rolls-Royce Spectre,465,219,2965,4.5,494,102.0,126,0,380,828,379.015
Kia EV6 Long Range AWD,440,182,2160,5.2,549,80.0,205,1800,510,128,53.99
BYD SEALION 7 82.5 kWh RWD Comfort,420,196,2300,6.7,440,82.5,115,750,578,121,47.99
Tesla Model S Plaid,560,170,2265,2.4,636,95.0,140,1600,798,212,120.97
Tesla Model 3 Long Range AWD,490,155,1919,4.4,584,76.0,135,1000,649,117,55.26
Tesla Model 3 Performance,470,162,1919,3.6,555,76.0,135,0,649,137,59.56
Mercedes-Benz EQB 250+,415,170,2105,8.9,414,70.5,90,1400,495,133,53.514
Hyundai Kona Electric 64 kWh,390,164,1760,7.9,363,64.0,61,300,332,110,42.9
Skoda Enyaq iV 80,440,175,2075,8.6,468,77.0,124,1000,585,112,48.9
Tesla Model 3 RWD,400,143,1835,6.1,468,57.0,100,1000,649,114,44.668
BYD DOLPHIN SURF 43.2 kWh Comfort,265,163,1465,9.1,275,43.2,60,0,308,107,30.99
Renault Twingo E-Tech 27.5 kWh,185,149,1275,12.1,193,27.5,40,0,360,112,18.9
Hyundai IONIQ 6 84 kWh RWD,545,147,2000,7.4,687,80.0,196,1500,446,101,55.3
Mercedes-Benz CLA Shooting Brake 250+,565,150,2075,6.8,738,85.0,235,1500,556,99,57.096
Hyundai INSTER Long Range,300,153,1410,10.6,311,46.0,70,0,351,89,25.4
Tesla Model 3 Long Range AWD,525,143,1899,4.4,629,75.0,124,1000,682,101,49.99
BMW i3 120 Ah,235,161,1345,7.3,222,37.9,46,0,260,167,39.0
BYD SEAL U 87 kWh Design,425,205,2222,9.6,418,87.0,85,1300,552,107,44.99
Mercedes-Benz GLB 250+,465,183,2200,7.4,573,85.0,208,1500,667,121,59.048
BYD DOLPHIN 60.4 kWh,350,173,1733,7.0,338,60.48,65,0,345,100,32.99
Lucid Air Grand Touring,720,163,2435,3.2,836,117.0,190,0,910,184,130.9
MG ZS EV Long Range,370,185,1695,8.4,352,68.3,81,500,448,105,37.99
Renault 4 E-Tech 52kWh 150hp,315,165,1537,8.2,330,52.0,75,750,420,98,32.4
Hyundai IONIQ Electric,250,153,1602,9.7,230,38.3,32,0,357,146,35.35
BMW iX xDrive50,505,208,2585,4.6,533,105.2,139,2500,500,213,100.1
Tesla Model 3 RWD,420,136,1836,6.1,495,57.0,108,1000,682,101,40.97
BYD SEAL 82.5 kWh RWD Design,480,172,2130,5.9,507,82.5,100,1000,453,104,48.99
Changan Deepal S07 Standard,410,190,2148,7.9,386,77.97,70,1500,635,111,44.99
Mini Cooper SE,180,161,1440,7.3,183,28.9,43,0,211,207,35.7
Tesla Model 3 Performance,515,153,1929,3.4,604,79.0,125,0,682,121,59.47
Kia e-Niro 64 kWh,375,171,1812,7.8,349,64.0,61,300,451,108,42.79
Ford Puma Gen-E,275,159,1563,8.0,312,43.6,85,750,566,124,36.9
Volkswagen ID.3 Pro S,475,166,1957,7.1,536,79.0,135,0,385,88,44.025
MG MG4 Electric 51 kWh,300,169,1710,7.7,304,50.8,64,500,363,111,34.99
Volkswagen ID.4 Pro,445,173,2139,6.7,490,77.0,120,1000,543,99,46.335
BMW iX1 eDrive20,400,163,1940,8.3,429,65.2,95,750,490,122,49.4
Kia EV3 Standard Range,325,169,1800,7.5,341,55.0,80,500,485,114,35.99
Mercedes-Benz CLA 350 4MATIC,575,148,2135,4.9,729,85.0,208,1800,506,108,60.285
BMW i4 eDrive40,525,155,2120,5.6,595,81.3,130,1600,470,123,60.6
MG MGS5 EV 64 kWh,365,170,1755,6.3,387,62.1,90,750,453,106,42.99
Tesla Model Y Long Range RWD,470,160,1976,5.6,552,75.0,124,1600,971,112,50.97
Hyundai Kona Electric 64 kWh,390,164,1760,7.9,363,64.0,61,0,361,110,41.85
Hyundai IONIQ 5 84 kWh AWD,445,180,2165,5.3,546,80.0,196,1600,544,134,59.4
Audi Q4 e-tron 45,420,183,2145,6.7,460,77.0,120,1000,520,129,52.95
Ford Explorer Extended Range RWD,435,177,2090,6.4,452,77.0,120,1000,536,112,48.51
Tesla Model Y Long Range AWD,425,169,2056,5.0,484,72.0,108,1600,971,147,59.965
Audi Q4 e-tron 40,405,189,2125,8.5,430,76.6,124,1000,520,140,51.9
Kia EV6 Long Range 2WD,410,180,1985,7.3,508,74.0,196,1600,532,126,51.99
Volkswagen ID.4 Pro Performance,410,188,2109,8.5,436,77.0,124,1000,543,124,46.335
Renault Scenic E-Tech EV87 220hp,480,181,1917,7.9,481,87.0,95,1100,545,100,48.9
Volvo EX60 P10 AWD,500,182,2350,4.6,620,91.0,215,2400,575,135,65.99
XPENG G9 AWD Performance,465,198,2470,4.2,600,92.2,330,1500,731,160,72.6
Audi A6 Avant e-tron performance,575,165,2260,5.4,688,94.9,186,2100,529,138,77.25
Mini Countryman E,385,168,1940,8.6,407,64.7,86,750,460,104,43.5
Mercedes-Benz EQA 250,395,168,2045,8.6,405,66.5,100,1500,340,129,50.777
XPENG P7+ RWD Long Range,445,164,2175,6.2,588,73.0,260,1500,573,111,49.6
TOGG T10X Long Range RWD,435,195,2248,7.8,466,85.0,115,0,441,92,40.118
Tesla Model S Dual Motor,575,165,2170,3.2,653,95.0,140,1600,798,185,110.97
Nissan Ariya 87kWh,450,193,2121,7.6,435,87.0,80,750,468,104,53.49
BMW iX1 eDrive20,390,166,1940,8.3,413,64.7,86,750,490,129,47.9
BMW i4 M50,450,179,2290,3.9,499,80.7,112,1600,470,170,70.8
Volvo EX60 P6,455,176,2190,5.9,562,80.0,190,2000,575,141,62.99
Volkswagen ID.7 Pro,475,162,2172,6.5,541,77.0,125,1000,532,114,53.995
Nissan LEAF Extended Range 75 kWh,460,163,1956,7.6,489,75.1,103,975,437,88,41.2
BMW iX xDrive60,525,208,2580,4.6,554,109.1,150,2500,500,195,99.9
Lynk&Co 02,355,175,1820,5.5,383,62.0,90,1600,425,99,35.995
Nissan LEAF 40 kWh,235,166,1580,7.9,218,39.0,40,0,435,136,29.99
Volkswagen ID.3 Pure,325,160,1787,8.2,376,52.0,90,0,385,100,33.33
Leapmotor C10 AWD 81.9 kWh,380,216,2264,4.0,405,81.9,120,1500,467,118,44.9
Tesla Model 3 Premium AWD,555,142,1899,4.4,654,79.0,125,1000,682,96,50.97
Hyundai IONIQ 6 Long Range 2WD,495,149,1985,7.4,630,74.0,196,1500,446,107,54.0
Polestar 4 Long Range Single Motor,495,190,2305,7.4,533,94.0,135,1500,541,133,63.2
TOGG T10F Long Range RWD,490,173,2154,7.5,531,85.0,115,0,505,82,40.118
Mercedes-Benz G 580,395,294,3085,4.7,394,116.0,150,0,555,465,142.622
Peugeot e-208,270,171,1530,8.1,292,46.3,74,0,265,119,30.45
Peugeot e-2008 54 kWh,300,169,1623,9.1,327,50.8,79,0,434,129,40.55
Peugeot e-3008 73 kWh,380,192,2183,8.8,397,73.0,90,1250,588,129,48.75
KGM Torres EVX,370,195,1979,8.1,368,72.0,85,1500,839,113,41.99
Suzuki e VITARA 61 kWh 2WD,330,181,1835,8.7,307,59.8,60,750,238,111,36.49
Polestar 2 Long Range Dual Motor,390,192,2188,4.7,412,75.0,97,1500,440,144,54.995
Tesla Model S 75D,380,191,2183,4.4,386,72.5,80,0,804,216,71.019
Volkswagen ID.7 Tourer Pro S,520,165,2235,6.7,589,86.0,145,1000,605,116,59.895
Hyundai IONIQ 6 63 kWh RWD,420,143,1892,8.3,526,60.0,150,750,446,108,45.55
Audi A6 Sportback e-tron performance,600,158,2250,5.4,718,94.9,186,2100,529,129,75.6
Mazda 6e Long Range 80 kWh,480,162,2037,7.8,459,77.97,70,1500,526,97,46.5
CUPRA Tavascan Endurance,445,173,2178,6.8,467,77.0,120,1000,540,120,56.21
MG MG5 Electric Long Range,335,171,1637,7.7,325,57.4,60,500,479,113,38.49
BYD SEAL U 71.8 kWh Comfort,360,199,2095,9.3,352,71.8,72,1300,552,118,41.99
Audi e-tron 50 quattro,280,231,2445,6.8,299,64.7,114,1800,722,240,69.1
Citroen e-C3 Standard Range 44 kWh,255,172,1491,11.5,271,43.8,62,550,310,96,23.3
Polestar 2 Long Range Single Motor,420,179,2069,7.4,443,75.0,97,1500,440,124,50.995
Citroen e-C4,290,160,1636,9.7,315,46.3,74,0,380,125,34.875
Citroen e-C3 Aircross Extended Range 54 kWh,290,184,1607,13.0,298,53.5,70,550,460,101,30.69
Jeep Avenger Electric,310,164,1595,9.0,330,50.8,79,0,355,122,38.5
Fiat 600e,310,164,1595,9.0,336,50.8,79,0,360,103,36.49
Ford Explorer Extended Range RWD,450,176,2090,6.4,500,79.0,135,1200,532,103,48.9
BMW i4 eDrive35,430,156,2075,6.0,486,67.1,95,1600,470,137,57.5
Tesla Model 3 Long Range AWD,465,155,1919,4.4,534,72.0,108,1000,649,121,53.56
BYD HAN,475,180,2325,3.9,473,85.4,85,0,410,146,69.02
Peugeot e-5008 73 kWh,370,197,2260,9.7,388,73.0,90,1000,348,140,51.25
Tesla Model S 100D,485,196,2290,4.3,486,95.0,100,0,895,223,108.42
Polestar 5 Dual Motor,580,183,2462,3.9,698,106.0,210,1800,427,197,118.6
BMW i4 eDrive40,515,158,2125,5.6,587,81.3,130,1600,470,124,60.5
XPENG G6 AWD Performance,425,188,2295,4.1,548,80.0,290,1500,571,128,51.6
Hyundai IONIQ 5 Long Range AWD,385,192,2120,5.1,479,74.0,196,1600,551,154,59.2
CUPRA Born 170 kW - 79 kWh,470,168,1977,7.1,526,79.0,135,0,385,92,47.35
Volkswagen ID.3 1st,350,166,1794,7.3,369,58.0,75,0,385,113,38.987
BYD SEAL 61.4 kWh RWD Comfort,365,168,2045,7.5,384,61.4,75,750,453,121,46.99
Tesla Model 3 Performance,460,163,1919,3.6,543,75.0,124,0,649,130,57.668
BMW i7 xDrive60,510,199,2715,4.7,560,101.7,149,2000,500,272,139.9
Hyundai IONIQ 5 N,390,205,2225,3.4,476,80.0,196,0,480,191,74.9
Volkswagen ID. Buzz Pro,345,223,2459,10.2,368,77.0,115,1000,1121,183,64.581
Toyota bZ4X FWD,350,183,1970,7.5,373,64.0,85,750,452,125,42.9
Tesla Model Y RWD,345,165,1992,6.9,429,57.0,140,1600,971,139,45.97
Renault Zoe ZE50 R135,310,168,1577,9.5,271,52.0,41,0,338,117,37.84
Skoda Enyaq iV 60,340,171,1965,8.7,355,58.0,75,1000,585,129,42.1
Mercedes-Benz CLA 200,400,145,2045,7.5,493,58.0,125,1500,506,122,49.421
Mercedes-Benz EQA 250+,420,168,2050,8.6,414,70.5,90,1500,340,126,52.205
Hyundai IONIQ 6 Standard Range 2WD,335,149,1850,8.8,418,50.0,120,750,446,134,43.9
BYD DOLPHIN 60.4 kWh,350,173,1733,7.0,354,60.48,75,0,345,101,34.64
Audi Q6 SUV e-tron quattro,480,198,2400,5.9,558,94.9,186,2400,590,161,74.7
Tesla Model 3 Long Range RWD,580,136,1822,5.2,688,79.0,125,1000,682,83,45.97
Volkswagen ID.3 Pro,365,162,1815,7.6,422,59.0,110,0,385,104,36.425
XPENG G6 RWD Long Range,480,182,2100,6.7,574,87.5,180,1500,571,104,47.6
Mini Cooper SE,330,149,1680,6.7,356,49.2,75,0,200,117,36.9
Kia EV9 99.8 kWh AWD,435,221,2625,6.0,485,96.0,196,2500,385,162,68.99
Hyundai IONIQ 9 Long Range AWD,495,214,2653,6.7,567,106.0,195,2500,390,160,81.5
Porsche Cayenne Electric,520,208,2600,4.8,668,108.0,290,3000,871,199,105.2
Volvo ES90 Single Motor,485,181,2410,6.6,584,88.0,170,1600,468,152,71.99
Mini Countryman E,400,163,1940,8.6,421,65.2,86,750,460,94,38.12
Mercedes-Benz EQV 300 Long,320,281,2625,12.1,297,90.0,96,0,1030,267,62.01
Tesla Model 3 Standard Range Plus,350,150,1825,5.6,412,52.5,95,1000,649,136,45.56
