Rank,Score,Acedemik Reputation,Students,Citations_per_faculty,faculty_student_ratio,employer_reputation,employment_outcomes,international_faculty_ratio,sustainability_score,international_research_network,Score_class,Total_Reputation,Global_Connectivity
=98,69.1,57.1,56.9,77.1,48.9,87.4,61.5,83.8,79.5,86.9,great,72.25,85.35
=98,69.1,83.4,69.3,53.9,9.3,90.1,72.0,74.4,72.9,87.0,great,86.75,80.7
100,68.5,71.0,57.8,52.3,95.2,43.5,90.8,100.0,69.8,93.5,great,57.25,96.75
101,68.4,85.5,26.5,36.6,99.6,41.7,94.4,87.3,76.3,98.0,great,63.6,92.65
102,67.9,61.3,4.2,98.3,99.9,83.3,16.0,31.6,64.3,29.6,great,72.3,30.6
=103,67.7,72.1,15.9,99.0,37.2,61.2,39.7,82.9,59.5,69.5,great,66.65,76.2
=103,67.7,79.3,30.5,77.9,39.5,49.2,73.2,63.4,75.1,97.8,great,64.25,80.6
=105,67.6,83.7,96.0,7.3,99.9,87.9,98.3,25.5,48.8,87.0,great,85.80000000000001,56.25
=105,67.6,57.7,93.0,79.7,10.7,95.7,55.9,59.6,82.9,86.0,great,76.7,72.8
107,67.5,44.8,95.9,90.9,98.4,36.2,60.5,100.0,68.0,87.1,great,40.5,93.55
108,67.3,97.3,3.5,40.3,30.5,81.0,98.8,9.2,89.0,95.3,great,89.15,52.25
109,66.7,84.5,19.4,35.5,98.2,86.5,36.5,20.5,82.0,70.1,great,85.5,45.3
=110,66.6,63.6,99.9,83.4,31.0,47.1,40.1,99.9,82.4,91.9,great,55.35,95.9
=110,66.6,85.7,37.0,28.1,84.3,63.1,91.0,57.7,72.5,88.9,great,74.4,73.30000000000001
112,66.5,43.3,98.6,73.3,73.8,56.5,98.9,100.0,72.2,89.6,great,49.9,94.8
113,66.4,61.5,99.7,51.3,63.8,74.9,28.9,98.8,86.2,87.7,great,68.2,93.25
=114,66.3,57.5,60.0,79.6,35.1,56.1,97.1,97.2,88.3,80.9,great,56.8,89.05000000000001
=114,66.3,72.7,61.9,66.5,28.3,70.1,38.0,86.5,79.8,90.8,great,71.4,88.65
=116,66.1,98.0,7.8,14.2,35.1,98.6,99.9,42.0,80.0,81.2,great,98.3,61.6
=116,66.1,74.5,13.1,62.7,66.9,37.7,94.2,78.5,95.6,96.1,great,56.1,87.3
118,66.0,66.5,89.6,62.0,19.7,57.6,92.2,99.5,91.7,89.0,great,62.05,94.25
=119,65.7,80.4,68.4,64.9,30.3,46.3,61.2,89.7,58.6,94.3,great,63.35,92.0
=119,65.7,50.6,96.6,81.6,74.9,51.0,45.7,91.3,81.5,66.3,great,50.8,78.8
=119,65.7,67.8,46.0,67.7,78.4,27.7,86.6,95.8,72.3,96.8,great,47.75,96.3
=119,65.7,53.0,76.6,88.3,8.8,74.2,72.0,81.5,90.5,83.5,great,63.6,82.5
=123,65.5,76.0,60.4,54.2,32.4,92.8,67.5,21.5,66.1,79.0,great,84.4,50.25
=123,65.5,67.9,1.9,93.1,21.9,95.0,50.5,3.2,79.9,66.9,great,81.45,35.050000000000004
125,65.3,55.1,95.2,91.3,7.2,60.3,49.9,100.0,87.9,83.1,great,57.7,91.55
=126,65.2,68.4,57.6,62.3,83.8,75.6,44.2,24.2,74.7,49.5,great,72.0,36.85
=126,65.2,76.2,94.7,30.1,78.7,76.4,35.5,50.1,74.7,86.1,great,76.30000000000001,68.1
128,64.9,90.7,14.8,62.9,7.8,66.4,91.5,4.0,81.9,95.9,great,78.55000000000001,49.95
129,64.8,73.3,1.6,82.9,16.1,96.7,72.6,6.5,75.2,46.6,great,85.0,26.55
130,64.5,94.3,47.6,43.4,10.5,75.3,27.5,75.7,58.4,95.0,great,84.8,85.35
131,64.3,68.3,25.5,74.1,42.4,41.7,79.4,96.7,73.2,96.3,great,55.0,96.5
=132,64.2,48.9,86.8,75.9,20.5,81.6,50.7,95.6,83.8,85.3,great,65.25,90.44999999999999
=132,64.2,57.6,7.8,99.4,98.1,50.6,42.8,14.9,55.3,74.4,great,54.1,44.650000000000006
=134,64.1,75.7,98.4,38.3,66.8,73.4,23.2,45.2,68.9,86.8,great,74.55000000000001,66.0
=134,64.1,77.6,99.3,38.4,47.6,79.8,29.1,34.7,74.5,92.5,great,78.69999999999999,63.6
136,64.0,99.2,5.4,4.1,47.1,95.9,97.9,10.0,82.2,93.6,great,97.55000000000001,51.8
137,63.9,62.9,81.0,49.1,49.5,68.7,40.5,92.5,90.9,95.8,great,65.8,94.15
=138,63.3,90.6,26.5,51.9,6.0,67.5,67.4,29.9,83.2,95.6,great,79.05,62.75
=138,63.3,47.7,97.3,85.8,13.6,56.7,62.2,100.0,90.6,91.0,great,52.2,95.5
=140,63.2,40.5,95.7,81.9,43.6,77.3,33.1,100.0,74.1,74.3,great,58.9,87.15
=140,63.2,49.4,81.6,75.7,20.7,74.8,94.0,81.8,62.2,81.8,great,62.099999999999994,81.8
=140,63.2,72.2,25.0,47.9,85.6,55.5,74.0,31.1,83.9,89.5,great,63.85,60.3
143,63.1,54.8,29.2,65.6,55.7,57.7,99.4,100.0,63.1,96.8,great,56.25,98.4
144,63.0,72.9,20.7,75.5,6.2,81.5,63.8,28.0,61.0,93.0,great,77.2,60.5
145,62.8,64.6,84.5,34.3,70.6,79.4,47.6,64.2,68.3,89.0,great,72.0,76.6
146,62.6,61.2,81.2,66.2,19.6,69.6,98.0,15.8,92.1,87.8,great,65.4,51.8
=147,62.5,65.1,79.4,73.6,28.3,29.5,90.5,83.0,72.1,96.7,great,47.3,89.85
=147,62.5,67.2,89.4,53.0,56.2,41.6,53.5,95.4,67.6,93.4,great,54.400000000000006,94.4
=147,62.5,60.7,91.1,61.7,37.3,48.8,47.8,92.4,92.4,97.0,great,54.75,94.7
150,62.3,58.2,27.9,75.4,14.6,62.3,97.7,66.1,92.1,97.7,great,60.25,81.9
1,100.0,100.0,91.6,100.0,100.0,100.0,100.0,100.0,93.8,94.1,best,100.0,97.05
2,99.4,99.6,100.0,95.0,99.3,100.0,95.9,100.0,98.3,97.5,best,99.8,98.75
3,98.9,100.0,73.5,99.7,100.0,100.0,100.0,94.2,95.4,96.5,best,100.0,95.35
4,97.9,100.0,98.6,91.0,100.0,100.0,100.0,98.8,77.9,100.0,best,100.0,99.4
5,97.7,100.0,81.4,100.0,98.3,100.0,100.0,79.1,77.8,99.4,best,100.0,89.25
6,97.2,100.0,93.1,88.6,100.0,100.0,100.0,100.0,78.4,99.2,best,100.0,99.6
7,96.7,99.7,99.3,98.8,71.7,96.3,95.0,100.0,99.6,95.8,best,98.0,97.9
8,95.9,99.9,96.9,95.9,71.5,98.2,100.0,100.0,90.0,92.4,best,99.05000000000001,96.2
9,95.8,99.9,100.0,80.9,94.8,99.4,89.3,99.6,98.5,99.9,best,99.65,99.75
10,94.3,98.3,90.7,100.0,100.0,99.2,49.1,100.0,79.2,61.8,best,98.75,80.9
11,94.2,99.3,100.0,96.6,85.3,82.5,99.8,100.0,84.8,82.3,best,90.9,91.15
12,93.7,97.1,93.1,94.6,83.9,91.4,87.7,100.0,87.2,86.9,best,94.25,93.45
13,93.0,99.8,92.8,78.1,97.3,99.3,99.8,86.1,73.3,87.7,best,99.55,86.9
14,92.6,99.9,37.3,99.2,96.2,99.6,97.0,59.9,70.6,83.2,best,99.75,71.55
15,92.5,98.9,76.3,72.0,99.9,98.7,100.0,96.9,95.0,89.4,best,98.80000000000001,93.15
16,91.6,99.5,75.7,98.0,64.3,98.8,99.3,57.6,76.8,93.0,best,99.15,75.3
=17,91.2,99.9,31.9,99.6,97.1,99.7,97.0,39.5,68.7,80.4,best,99.80000000000001,59.95
