WIND,RAIN,IND.1,T.MAX,T.MIN,Year,Month,T_AVG,IS_RAINIY
13.67,0.0029850746268656,0.0,0.3568773234200744,0.5152542372881356,0.0,0.0,0.439103802331193,1.0
11.5,0.0761194029850746,0.0,0.2713754646840149,0.5322033898305085,0.0,0.0,0.3201440004099397,1.0
11.25,0.0059701492537313,0.0,0.20817843866171,0.4067796610169492,0.0,0.0,0.3923978136801916,1.0
8.63,0.0029850746268656,0.0,0.2118959107806691,0.4033898305084746,0.0,0.0,0.4006503755846918,1.0
11.92,0.1552238805970149,0.0,0.2713754646840149,0.3389830508474576,0.0,0.0,0.5444995530370709,1.0
10.67,0.0,0.0,0.2453531598513011,0.4305084745762711,0.0,0.0,0.4080103731697339,0.0
9.17,0.0283582089552238,0.0,0.345724907063197,0.3084745762711864,0.0,0.0,0.6662541055323659,1.0
14.29,0.0,0.0,0.2490706319702602,0.4949152542372881,0.0,0.0,0.3375416885383985,0.0
8.04,0.1238805970149253,0.0,0.2565055762081785,0.4711864406779661,0.0,0.0,0.3737271239813579,1.0
11.42,0.0,0.0,0.2453531598513011,0.4915254237288136,0.0,0.0,0.3371612512874818,0.0
7.54,0.0074626865671641,0.0,0.37546468401487,0.2847457627118644,0.0,0.0,0.7283385384415759,1.0
15.54,0.0895522388059701,0.0,0.4572490706319703,0.2779661016949152,0.0,0.0,0.8311736538047454,1.0
4.63,0.0,0.0,0.4907063197026022,0.576271186440678,0.0,0.0,0.5236486652464453,0.0
3.08,0.0,0.0,0.2118959107806691,0.2813559322033898,0.0,0.0,0.5423486193491958,0.0
2.5,0.0,0.0,0.1672862453531599,0.2203389830508474,0.0,0.0,0.5613997462989464,0.0
9.25,0.0,0.0,0.174721189591078,0.247457627118644,0.0,0.0,0.538544246840029,0.0
13.42,0.0298507462686567,0.0,0.3494423791821562,0.4983050847457627,0.0,0.0,0.450151114809735,1.0
17.83,0.1253731343283582,0.0,0.379182156133829,0.535593220338983,0.0,0.0,0.441386425836693,1.0
3.71,0.0134328358208955,0.0,0.2490706319702602,0.4440677966101695,0.0,0.0,0.3965826234402752,1.0
3.17,0.3208955223880597,0.0,0.3494423791821562,0.3694915254237288,0.0,0.0,0.5997214832278225,1.0
8.04,0.0029850746268656,0.0,0.379182156133829,0.4440677966101695,0.0,0.0,0.547660108660071,1.0
9.38,0.0044776119402985,0.0,0.2453531598513011,0.576271186440678,0.0,0.0,0.2387596931176875,1.0
13.7,0.0,0.0,0.2453531598513011,0.576271186440678,0.0,0.0,0.2387596931176875,0.0
20.38,0.1417910447761194,0.0,0.2007434944237918,0.5050847457627119,0.0,0.0,0.2696190070478133,1.0
9.25,0.0,0.0,0.1635687732342007,0.4644067796610169,0.0,0.0,0.2736867591922301,0.0
14.33,0.0104477611940298,0.0,0.4869888475836432,0.4644067796610169,0.0,0.0,0.6492222224528654,1.0
16.79,0.0223880597014925,0.0,0.4609665427509294,0.5152542372881356,0.0,0.0,0.5599657905070297,1.0
12.25,0.0417910447761194,0.0,0.4498141263940521,0.5525423728813559,0.0,0.0,0.5037196061791948,1.0
22.0,0.0925373134328358,0.0,0.4721189591078067,0.5389830508474577,0.0,0.0,0.5453628529526124,1.0
14.5,0.0208955223880597,0.0,0.2936802973977695,0.5152542372881356,0.0,0.0,0.3657233095101493,1.0
14.88,0.0701492537313432,0.0,0.2713754646840149,0.4610169491525424,0.0,0.0,0.4028013092725669,1.0
10.17,0.0313432835820895,0.0,0.3271375464684015,0.423728813559322,0.0,0.0909090909090909,0.5108454885329032,1.0
10.88,0.0014925373134328,0.0,0.3048327137546469,0.423728813559322,0.0,0.0909090909090909,0.4849464910666525,1.0
8.5,0.0597014925373134,0.0,0.3048327137546469,0.3694915254237288,0.0,0.0909090909090909,0.547923488295321,1.0
12.54,0.0850746268656716,0.0,0.4237918215613384,0.3898305084745763,0.0,0.0909090909090909,0.6624351008212408,1.0
13.96,0.1283582089552238,0.0,0.5055762081784387,0.5491525423728814,0.0,0.0909090909090909,0.5724031621716134,1.0
19.17,0.0074626865671641,0.0,0.2936802973977695,0.4610169491525424,0.0,0.0909090909090909,0.4287003067388176,1.0
14.21,0.0044776119402985,0.0,0.4349442379182157,0.4983050847457627,0.0,0.0909090909090909,0.5494306050970293,1.0
16.5,0.0656716417910447,0.0,0.5464684014869888,0.5389830508474577,0.0,0.0909090909090909,0.6316928445067814,1.0
14.37,0.0044776119402985,0.0,0.4386617100371747,0.6067796610169491,0.0,0.0909090909090909,0.4277931102174009,1.0
11.08,0.0119402985074626,0.0,0.4014869888475836,0.6372881355932203,0.0,0.0909090909090909,0.3492035534991905,1.0
17.5,0.0522388059701492,0.0,0.4237918215613384,0.6372881355932203,0.0,0.0909090909090909,0.3751025509654413,1.0
11.71,0.0,0.0,0.5799256505576209,0.6305084745762712,0.0,0.0909090909090909,0.5642676578827797,0.0
16.08,0.0,0.0,0.4758364312267658,0.688135593220339,0.0,0.0909090909090909,0.3764926101514828,0.0
15.46,0.0,0.0,0.4981412639405205,0.728813559322034,0.0,0.0909090909090909,0.3551588596962323,0.0
5.17,0.0,0.0,0.5167286245353161,0.4745762711864407,0.0,0.0909090909090909,0.6719460320941577,0.0
3.42,0.0,0.0,0.4535315985130112,0.4745762711864407,0.0,0.0909090909090909,0.5985655392731141,0.0
6.17,0.0,0.0,0.4386617100371747,0.5389830508474577,0.0,0.0909090909090909,0.5065143567532364,0.0
10.88,0.0,0.0,0.4981412639405205,0.5932203389830508,0.0,0.0909090909090909,0.5126013527679034,0.0
