Lat_degrees,Long_degrees,Depth,Type,Magnituda,Is_Shallow,Mag_Level
36.245,28.077,66,origin,1.7,1,safe
39.218,28.121,13,origin,1.3,1,safe
39.257,28.128,7,origin,1.2,1,safe
59.493,-151.877,51,origin,2.1,1,safe
39.198,28.155,7,origin,1.2,1,safe
37.486,36.314,8,origin,1.1,1,safe
37.33,36.492,2,origin,1.2,1,safe
27.88,87.43,5,origin,3.7,1,dangerous
27.81,87.48,10,origin,3.8,1,dangerous
38.652,30.859,10,origin,1.2,1,safe
-0.27,132.57,10,origin,2.6,1,safe
22.51,93.48,90,origin,3.4,0,dangerous
0.72,121.94,7,origin,2.5,1,safe
38.243,32.655,4,origin,0.8,1,safe
59.602,-152.982,100,origin,2.4,0,safe
46.768,90.518,17,origin,4.3,1,dangerous
46.47,90.89,40,origin,4.6,1,dangerous
46.654,91.222,10,origin,4.5,1,dangerous
46.411,93.155,10,origin,5.1,1,very deangerous
-15.39,166.71,35,origin,5.0,1,dangerous
-15.406,166.725,12,origin,5.3,1,very deangerous
-15.386,166.687,10,origin,4.9,1,dangerous
-15.297,166.769,10,origin,5.2,1,very deangerous
-15.443,166.608,10,origin,5.1,1,very deangerous
-15.24,166.9,10,origin,5.2,1,very deangerous
-6.17,105.48,75,origin,2.6,0,safe
38.278,38.691,13,origin,0.8,1,safe
-8.22,117.72,11,origin,2.5,1,safe
36.672,29.276,7,origin,1.3,1,safe
49.416,92.021,10,origin,3.6,1,dangerous
19.613,-155.136,1,origin,2.0,1,safe
-38.755,176.971,39,origin,3.8,1,dangerous
38.279,38.758,10,origin,1.0,1,safe
40.385,48.586,2,origin,3.9,1,dangerous
38.119,49.724,20,origin,3.8,1,dangerous
74.44,15.94,6,origin,2.5,1,safe
74.681,14.851,5,origin,3.4,1,dangerous
74.614,14.588,5,origin,2.3,1,safe
1.23,126.1,31,origin,3.0,1,safe
-6.65,127.48,419,origin,3.9,0,dangerous
37.423,29.746,17,origin,1.6,1,safe
-4.607,-76.353,128,origin,4.9,0,dangerous
-4.527,-76.285,112,origin,5.1,0,very deangerous
-4.641,-76.449,115,origin,5.0,0,dangerous
-4.68,-76.278,109,origin,5.1,0,very deangerous
-4.64,-76.45,115,origin,5.0,0,dangerous
-4.83,-76.45,111,origin,5.3,0,very deangerous
-4.72,-76.318,110,mt,4.7,0,dangerous
-4.58,-76.47,108,origin,4.9,0,dangerous
17.967,-66.731,9,origin,3.2,1,dangerous
59.816,-152.292,81,origin,2.5,0,safe
36.296,29.234,13,origin,1.7,1,safe
41.431,21.885,15,origin,2.6,1,safe
37.748,21.391,37,origin,2.8,1,safe
-8.29,109.13,45,origin,2.5,1,safe
43.471,21.448,15,origin,2.9,1,safe
39.662,-122.889,3,origin,2.2,1,safe
39.168,28.218,7,origin,2.3,1,safe
39.153,28.194,13,origin,2.7,1,safe
-1.74,133.76,10,origin,3.4,1,dangerous
-8.36,119.83,170,origin,2.5,0,safe
38.158,-0.67,0,origin,1.7,1,safe
38.336,38.815,5,origin,1.5,1,safe
-46.352,166.713,10,origin,3.0,1,safe
