iter	MultiClass
0	1.008227476
1	0.9317495536
2	0.8649616775
3	0.8146564306
4	0.7656340994
5	0.7221699041
6	0.6867793111
7	0.6513568599
8	0.619366883
9	0.5954676214
10	0.5700460846
11	0.5461884563
12	0.5227804194
13	0.5021543761
14	0.4831905253
15	0.4640641132
16	0.4488021178
17	0.4368023751
18	0.4230860169
19	0.4105199898
20	0.3993565695
21	0.387336921
22	0.3784231399
23	0.3691046761
24	0.358343351
25	0.3483883566
26	0.3407191763
27	0.333216815
28	0.3260480547
29	0.3184340051
30	0.3124599679
31	0.30533053
32	0.2989054861
33	0.2949217426
34	0.2897492399
35	0.2850601512
36	0.2788829688
37	0.2751399947
38	0.2705778676
39	0.2674401905
40	0.2624277893
41	0.2583536595
42	0.2536970559
43	0.2510732725
44	0.2472055661
45	0.2441580624
46	0.241481407
47	0.2390975675
48	0.2362125126
49	0.2339632553
50	0.2320923566
51	0.23056661
52	0.2285767276
53	0.225196867
54	0.2235951878
55	0.220898618
56	0.2183418508
57	0.2170862831
58	0.215164583
59	0.212953539
60	0.2112934366
61	0.2096991552
62	0.2083106745
63	0.2064063693
64	0.2048694797
65	0.2038487767
66	0.2032005929
67	0.2022981067
68	0.2010371087
69	0.1998936904
70	0.1985607243
71	0.1964998265
72	0.1955250116
73	0.1944620779
74	0.1932508695
75	0.1916456655
76	0.190171684
77	0.1882829511
78	0.1867520064
79	0.1850362528
80	0.1847248899
81	0.1837167489
82	0.1820903729
83	0.1806081037
84	0.1799044566
85	0.1784492687
86	0.1769006275
87	0.175252198
88	0.1738695868
89	0.1729144869
90	0.1717439784
91	0.1705370161
92	0.1692117941
93	0.1678924609
94	0.166587525
95	0.1658419868
96	0.1650571461
97	0.163752861
98	0.1633276408
99	0.1623673014
100	0.1612821148
101	0.1602161992
102	0.159124086
103	0.1573876159
104	0.1563478307
105	0.1553606907
106	0.1542578481
107	0.1532773201
108	0.1520537709
109	0.1506476239
110	0.1494061077
111	0.1489595616
112	0.1486298316
113	0.1476951515
114	0.1468031501
115	0.1464637161
116	0.1455635563
117	0.1447393484
118	0.143425166
119	0.1424498785
120	0.1419471167
121	0.1410156753
122	0.1402039402
123	0.1396486256
124	0.1387221962
125	0.138092816
126	0.1370961632
127	0.1361349438
128	0.1359036834
129	0.1353267698
130	0.1346169411
131	0.1341759161
132	0.1334976555
133	0.1328132268
134	0.1319745844
135	0.1316626693
136	0.1312038154
137	0.1307135828
138	0.1296739746
139	0.1291385359
140	0.1282328951
141	0.127519586
142	0.127263
143	0.1267768544
144	0.126259791
145	0.1255735054
146	0.1247673478
147	0.1240077193
148	0.1235754355
149	0.1228175813
150	0.1224347312
151	0.1220301506
152	0.1208970647
153	0.120392726
154	0.1200423717
155	0.119423792
156	0.1192969288
157	0.1187302835
158	0.1179647233
159	0.1176632857
160	0.1172750645
161	0.1168615152
162	0.1160273423
163	0.1156538768
164	0.1148619395
165	0.1142505551
166	0.1136828116
167	0.1134067426
168	0.1126482897
169	0.111947954
170	0.1117227443
171	0.1111791251
172	0.1106007368
173	0.1104900064
174	0.1099652802
175	0.1097158394
176	0.1092395293
177	0.1087398431
178	0.1085853246
179	0.1083494304
180	0.1078597857
181	0.1072565298
182	0.1069593759
183	0.1064345706
184	0.1060567195
185	0.1057632486
186	0.1052614284
187	0.1046973107
188	0.1044307626
189	0.1042924983
190	0.1039024148
191	0.1033039189
192	0.1028615752
193	0.1023749894
194	0.1019187915
195	0.1017131177
196	0.1010801847
197	0.1005124762
198	0.1001269672
199	0.09955495834
200	0.09896264935
201	0.09872483204
202	0.09861898238
