Lat_degrees,Long_degrees,Depth,Magnituda,Is_Shallow,Type_mt,Type_origin,Mag_Level
0.8728773413016546,0.0746277779475625,0.1646746347941567,0.2631578947368421,0.0,0.0,1.0,1
0.5240446517503584,0.8578735486882282,0.2576361221779548,0.3552631578947368,0.0,0.0,1.0,1
0.5857505526808057,0.2494547596358212,0.0332005312084993,0.4868421052631578,1.0,0.0,1.0,0
0.4151969001287565,0.0193174840873163,0.0199203187250996,0.7236842105263157,1.0,1.0,0.0,2
0.7241029565386392,0.6944542456512741,0.0172642762284196,0.7368421052631579,1.0,0.0,1.0,2
0.7360979520443118,0.6005395448597379,0.0132802124833997,0.1842105263157895,1.0,0.0,1.0,1
0.7524658066710397,0.8958250563299281,0.0703851261620185,0.631578947368421,1.0,0.0,1.0,0
0.4571763476908875,0.8579568975337077,0.3014608233731739,0.4342105263157894,0.0,0.0,1.0,0
0.7627420256055196,0.4812395640299723,0.0053120849933598,0.2631578947368421,1.0,0.0,1.0,1
0.7457789762650926,0.578327077539431,0.0172642762284196,0.1578947368421052,1.0,0.0,1.0,1
0.7746945072030709,0.7213759227411769,0.0039840637450199,0.4210526315789473,1.0,0.0,1.0,0
0.4564475378373783,0.8011129849166374,0.0225763612217795,0.4078947368421052,1.0,0.0,1.0,0
0.6646442193231787,0.8574012385638439,0.0172642762284196,0.7236842105263157,1.0,0.0,1.0,2
0.4000315817603188,0.4637029669410697,0.0172642762284196,0.763157894736842,1.0,0.0,1.0,2
0.5172424264509391,0.8536227575687698,0.2071713147410358,0.3815789473684211,0.0,0.0,1.0,1
0.7461069406991717,0.5805080389961466,0.0185922974767596,0.2368421052631578,1.0,0.0,1.0,1
0.495074460073367,0.8882125284427935,0.0172642762284196,0.4210526315789473,1.0,0.0,1.0,0
0.3797888880791003,0.3088324771554707,0.1381142098273572,0.6052631578947368,0.0,0.0,1.0,0
0.4563868036829192,0.8287570186673632,0.1899070385126161,0.631578947368421,0.0,0.0,1.0,0
0.7399727910988024,0.6061044694429242,0.0132802124833997,0.131578947368421,1.0,0.0,1.0,1
0.7896351092000098,0.2987917195700312,0.0159362549800796,0.2763157894736842,1.0,0.0,1.0,1
0.8015450768894397,0.5630020031505865,0.0172642762284196,0.3864702548913075,1.0,0.0,1.0,1
0.8191701285134709,0.9379912372580452,0.0650730411686587,0.7763157894736842,1.0,0.0,1.0,2
0.7328486747807499,0.696899145118675,0.3333333333333333,0.513157894736842,0.0,0.0,1.0,0
0.5984136238855284,0.7992265227139497,0.0092961487383798,0.4999999999999999,1.0,0.0,1.0,0
0.7449286981026652,0.6159590812734593,0.0146082337317397,0.1710526315789473,1.0,0.0,1.0,1
0.532122294293419,0.8527614861654809,0.0106241699867197,0.3421052631578947,1.0,0.0,1.0,1
0.6317202341908997,0.8332661912078083,0.0305444887118193,0.6578947368421051,1.0,0.0,1.0,2
0.4885759055462431,0.8925188854592383,0.0199203187250996,0.3947368421052631,1.0,0.0,1.0,0
0.5747576707237083,0.2594566210933702,0.0239043824701195,0.3815789473684211,1.0,0.0,1.0,1
0.7301885188154412,0.4853986714194031,0.0039840637450199,0.3026315789473684,1.0,0.0,1.0,1
0.310442630517698,0.30071429960576,0.0438247011952191,0.3289473684210526,1.0,0.0,1.0,1
0.1250273303695067,0.970786229659409,0.0199203187250996,0.7236842105263157,1.0,1.0,0.0,2
0.8421276388990113,0.0542628767020529,0.0239043824701195,0.4473684210526316,1.0,0.0,1.0,0
0.6249544493841558,0.0684016191902382,0.0438247011952191,0.3026315789473684,1.0,0.0,1.0,1
0.5820457692588005,0.3297335893068989,0.0677290836653386,0.513157894736842,1.0,0.0,1.0,0
0.6991169253941648,0.1774997013333037,0.0318725099601593,0.3947368421052631,1.0,0.0,1.0,0
0.7881228287539782,0.5080501093259024,0.0106241699867197,0.2763157894736842,1.0,0.0,1.0,1
0.7518706119573405,0.5947273520349622,0.0252324037184594,0.1842105263157895,1.0,0.0,1.0,1
0.6263513349367151,0.2108698007684764,0.0398406374501991,0.3947368421052631,1.0,0.0,1.0,0
0.6593603478852369,0.844676648153962,0.1367861885790172,0.6052631578947368,0.0,0.0,1.0,0
0.8595158273206522,0.9066354015886292,0.0172642762284196,0.7105263157894736,1.0,0.0,1.0,2
0.7316096980297842,0.5969833274526093,0.0305444887118193,0.3289473684210526,1.0,0.0,1.0,1
0.5414146199256615,0.8533449280838379,0.095617529880478,0.6710526315789473,1.0,0.0,1.0,2
0.7280931904866021,0.5801440823708858,0.0119521912350597,0.25,1.0,0.0,1.0,1
0.8755071301897337,0.1110512234221369,0.0106241699867197,0.4342105263157894,1.0,0.0,1.0,0
0.6240130699900397,0.0683682796520464,0.0504648074369189,0.3289473684210526,1.0,0.0,1.0,1
0.7408898768311349,0.6086327177558046,0.0199203187250996,0.1184210526315789,1.0,0.0,1.0,1
0.7994740422223843,0.4990150944759164,0.0106241699867197,0.3157894736842105,1.0,0.0,1.0,1
0.5328511041469282,0.8565121842120618,0.049136786188579,0.7368421052631579,1.0,0.0,1.0,2
0.7390374851201322,0.6014952782879037,0.0106241699867197,0.2894736842105262,1.0,0.0,1.0,1
0.7458943711585648,0.5777908666335124,0.0172642762284196,0.2236842105263157,1.0,0.0,1.0,1
0.7404343706726916,0.600045008376559,0.0066401062416998,0.1842105263157895,1.0,0.0,1.0,1
0.6728433301751574,0.6458618687366817,0.0172642762284196,0.5657894736842105,1.0,0.0,1.0,0
0.7398756164516679,0.607599192071858,0.0132802124833997,0.1842105263157895,1.0,0.0,1.0,1
