Rank,Score,Name,Acedemik Reputation,Students,Citations_per_faculty,faculty_student_ratio,employer_reputation,employment_outcomes,international_faculty_ratio,sustainability_score,international_research_network
=94,70.1,University of Alberta,70.9,78.6,71.5,44.6,53,77.1,99.4,90.7,94.5
96,69.9,University of Technology Sydney,58.7,91.7,99.3,11.8,66.7,52.3,97.6,92,89.7
97,69.4,University of Nottingham,75.4,78.5,48.6,44.5,78.4,53.7,92.7,92.9,97.4
=98,69.1,"KIT, Karlsruhe Institute of Technology",57.1,56.9,77.1,48.9,87.4,61.5,83.8,79.5,86.9
=98,69.1,Politecnico di Milano,83.4,69.3,53.9,9.3,90.1,72,74.4,72.9,87
100,68.5,University of Zurich,71,57.8,52.3,95.2,43.5,90.8,100,69.8,93.5
101,68.4,University of Copenhagen,85.5,26.5,36.6,99.6,41.7,94.4,87.3,76.3,98
102,67.9,Pohang University of Science And Technology (POSTECH),61.3,4.2,98.3,99.9,83.3,16,31.6,64.3,29.6
=103,67.7,Nanjing University,72.1,15.9,99,37.2,61.2,39.7,82.9,59.5,69.5
=103,67.7,Utrecht University,79.3,30.5,77.9,39.5,49.2,73.2,63.4,75.1,97.8
=105,67.6,Lomonosov Moscow State University,83.7,96,7.3,99.9,87.9,98.3,25.5,48.8,87
=105,67.6,RWTH Aachen University,57.7,93,79.7,10.7,95.7,55.9,59.6,82.9,86
107,67.5,Technical University of Denmark,44.8,95.9,90.9,98.4,36.2,60.5,100,68,87.1
108,67.3,Universidade de São Paulo,97.3,3.5,40.3,30.5,81,98.8,9.2,89,95.3
109,66.7,Tohoku University,84.5,19.4,35.5,98.2,86.5,36.5,20.5,82,70.1
=110,66.6,Queen Mary University of London,63.6,99.9,83.4,31,47.1,40.1,99.9,82.4,91.9
=110,66.6,University of Wisconsin-Madison,85.7,37,28.1,84.3,63.1,91,57.7,72.5,88.9
112,66.5,Qatar University,43.3,98.6,73.3,73.8,56.5,98.9,100,72.2,89.6
113,66.4,University of St Andrews,61.5,99.7,51.3,63.8,74.9,28.9,98.8,86.2,87.7
=114,66.3,Aalto University,57.5,60,79.6,35.1,56.1,97.1,97.2,88.3,80.9
=114,66.3,"University of California, Davis",72.7,61.9,66.5,28.3,70.1,38,86.5,79.8,90.8
=116,66.1,Pontificia Universidad Católica de Chile (UC),98,7.8,14.2,35.1,98.6,99.9,42,80,81.2
=116,66.1,University of Helsinki,74.5,13.1,62.7,66.9,37.7,94.2,78.5,95.6,96.1
118,66,University College Dublin,66.5,89.6,62,19.7,57.6,92.2,99.5,91.7,89
=119,65.7,Leiden University,80.4,68.4,64.9,30.3,46.3,61.2,89.7,58.6,94.3
=119,65.7,Rice University,50.6,96.6,81.6,74.9,51,45.7,91.3,81.5,66.3
=119,65.7,University of Oslo,67.8,46,67.7,78.4,27.7,86.6,95.8,72.3,96.8
=119,65.7,University of Waterloo,53,76.6,88.3,8.8,74.2,72,81.5,90.5,83.5
=123,65.5,Georgia Institute of Technology,76,60.4,54.2,32.4,92.8,67.5,21.5,66.1,79
=123,65.5,Indian Institute of Technology Delhi (IITD),67.9,1.9,93.1,21.9,95,50.5,3.2,79.9,66.9
125,65.3,RMIT University,55.1,95.2,91.3,7.2,60.3,49.9,100,87.9,83.1
=126,65.2,Sungkyunkwan University (SKKU),68.4,57.6,62.3,83.8,75.6,44.2,24.2,74.7,49.5
=126,65.2,Universiti Kebangsaan Malaysia (UKM),76.2,94.7,30.1,78.7,76.4,35.5,50.1,74.7,86.1
128,64.9,Sapienza University of Rome,90.7,14.8,62.9,7.8,66.4,91.5,4,81.9,95.9
129,64.8,Indian Institute of Technology Bombay (IITB),73.3,1.6,82.9,16.1,96.7,72.6,6.5,75.2,46.6
130,64.5,Humboldt-Universität zu Berlin,94.3,47.6,43.4,10.5,75.3,27.5,75.7,58.4,95
131,64.3,Aarhus University,68.3,25.5,74.1,42.4,41.7,79.4,96.7,73.2,96.3
=132,64.2,University of Bath,48.9,86.8,75.9,20.5,81.6,50.7,95.6,83.8,85.3
=132,64.2,University of Science and Technology of China,57.6,7.8,99.4,98.1,50.6,42.8,14.9,55.3,74.4
=134,64.1,Universiti Putra Malaysia (UPM),75.7,98.4,38.3,66.8,73.4,23.2,45.2,68.9,86.8
=134,64.1,Universiti Sains Malaysia (USM),77.6,99.3,38.4,47.6,79.8,29.1,34.7,74.5,92.5
136,64,Universidad Nacional Autónoma de México (UNAM),99.2,5.4,4.1,47.1,95.9,97.9,10,82.2,93.6
137,63.9,Newcastle University,62.9,81,49.1,49.5,68.7,40.5,92.5,90.9,95.8
=138,63.3,Alma Mater Studiorum - Università di Bologna,90.6,26.5,51.9,6,67.5,67.4,29.9,83.2,95.6
=138,63.3,"Macquarie University (Sydney, Australia)",47.7,97.3,85.8,13.6,56.7,62.2,100,90.6,91
=140,63.2,Eindhoven University of Technology,40.5,95.7,81.9,43.6,77.3,33.1,100,74.1,74.3
=140,63.2,Erasmus University Rotterdam,49.4,81.6,75.7,20.7,74.8,94,81.8,62.2,81.8
=140,63.2,University of North Carolina at Chapel Hill,72.2,25,47.9,85.6,55.5,74,31.1,83.9,89.5
143,63.1,King Saud University,54.8,29.2,65.6,55.7,57.7,99.4,100,63.1,96.8
144,63,Texas A&M University,72.9,20.7,75.5,6.2,81.5,63.8,28,61,93
145,62.8,Technische Universität Berlin (TU Berlin),64.6,84.5,34.3,70.6,79.4,47.6,64.2,68.3,89
146,62.6,University of Southern California,61.2,81.2,66.2,19.6,69.6,98,15.8,92.1,87.8
=147,62.5,Stockholm University,65.1,79.4,73.6,28.3,29.5,90.5,83,72.1,96.7
=147,62.5,University of Groningen,67.2,89.4,53,56.2,41.6,53.5,95.4,67.6,93.4
=147,62.5,University of Liverpool Management School,60.7,91.1,61.7,37.3,48.8,47.8,92.4,92.4,97
150,62.3,University of Cape Town,58.2,27.9,75.4,14.6,62.3,97.7,66.1,92.1,97.7
1,100,Massachusetts Institute of Technology (MIT),100,91.6,100,100,100,100,100,93.8,94.1
2,99.4,Imperial College London,99.6,100,95,99.3,100,95.9,100,98.3,97.5
3,98.9,Stanford University,100,73.5,99.7,100,100,100,94.2,95.4,96.5
4,97.9,University of Oxford,100,98.6,91,100,100,100,98.8,77.9,100
5,97.7,Harvard University,100,81.4,100,98.3,100,100,79.1,77.8,99.4
6,97.2,University of Cambridge,100,93.1,88.6,100,100,100,100,78.4,99.2
7,96.7,ETH Zurich,99.7,99.3,98.8,71.7,96.3,95,100,99.6,95.8
8,95.9,National University of Singapore (NUS),99.9,96.9,95.9,71.5,98.2,100,100,90,92.4
9,95.8,UCL,99.9,100,80.9,94.8,99.4,89.3,99.6,98.5,99.9
10,94.3,California Institute of Technology (Caltech),98.3,90.7,100,100,99.2,49.1,100,79.2,61.8
11,94.2,The University of Hong Kong,99.3,100,96.6,85.3,82.5,99.8,100,84.8,82.3
12,93.7,"Nanyang Technological University, Singapore (NTU Singapore)",97.1,93.1,94.6,83.9,91.4,87.7,100,87.2,86.9
13,93,University of Chicago,99.8,92.8,78.1,97.3,99.3,99.8,86.1,73.3,87.7
"
                     14
                     
                        
                     
                  ",92.6,Peking University,99.9,37.3,99.2,96.2,99.6,97,59.9,70.6,83.2
"
                     15
                     
                        
                     
                  ",92.5,University of Pennsylvania,98.9,76.3,72,99.9,98.7,100,96.9,95,89.4
"
                     16
                     
                        
                     
                  ",91.6,Cornell University,99.5,75.7,98,64.3,98.8,99.3,57.6,76.8,93
"
                     =17
                     
                        
                     
                  ",91.2,Tsinghua University,99.9,31.9,99.6,97.1,99.7,97,39.5,68.7,80.4
"
                     =17
                     
                        
                     
                  ",91.2,"University of California, Berkeley (UCB)",100,70.6,97.2,29.4,100,99.8,95.6,98.8,96.7
"
                     19
                     
                        
                     
                  ",90.8,The University of Melbourne,99.7,100,94.8,20.5,97.4,98.3,96.7,98.2,96.9
"
                     20
                     
                        
                     
                  ",90.7,The University of New South Wales (UNSW Sydney),96.3,99.9,96.9,29.9,93.5,98.7,100,97,97.6
"
                     21
                     
                        
                     
                  ",90.4,Yale University,100,72.7,64.8,100,100,99.8,86.7,82.4,92.9
"
                     =22
                     
                        
                     
                  ",90.2,EPFL – École polytechnique fédérale de Lausanne,92.7,100,93.1,90,88,47.3,100,85.3,83.6
"
                     =22
                     
                        
                     
                  ",90.2,Technical University of Munich,92,98.9,92.6,70.5,99.7,57.3,86.3,87.8,95.9
"
                     24
                     
                        
                     
                  ",89.7,Johns Hopkins University,93.2,94.2,85.8,100,79.2,84.1,70.8,93,97.4
"
                     =25
                     
                        
                     
                  ",89.4,Princeton University,100,70,100,67.3,99.8,98.9,12.7,76,82.6
"
                     =25
                     
                        
                     
                  ",89.4,The University of Sydney,98.9,100,94.3,15.7,94.2,95.8,99.9,97.6,95.5
"
                     27
                     
                        
                     
                  ",88.9,McGill University,98.1,93.5,72.4,67.3,93.5,98.9,88.6,96.3,92.9
"
                     28
                     
                        
                     
                  ",88.6,Université PSL,82.6,75.5,85.1,98.6,98.5,97.5,69.6,87.8,99.7
"
                     29
                     
                        
                     
                  ",88.5,University of Toronto,100,97.9,68.8,45.7,99.1,99.4,97.9,100,97
"
                     30
                     
                        
                     
                  ",88.4,Fudan University,93.7,46.4,92.8,84.8,95.1,73.3,88.5,83.1,75.5
"
                     31
                     
                        
                     
                  ",88.3,King's College London,96.2,99,70.2,74.4,91.8,76.4,99.5,96.5,98.4
"
                     =32
                     
                        
                     
                  ",87.4,Australian National University (ANU),97.9,99,91.7,40.9,82.6,67.1,100,91.8,93.1
"
                     =32
                     
                        
                     
                  ",87.4,The Chinese University of Hong Kong (CUHK),94.2,93.3,95,75.9,67.3,91.2,100,84.1,68.2
"
                     34
                     
                        
                     
                  ",87.2,The University of Edinburgh,99.6,99.9,54.3,77.3,98.2,69.7,99.7,98.3,99.5
"
                     35
                     
                        
                     
                  ",86.4,The University of Manchester,98.6,99.5,56.8,58.2,98.8,91.9,95.3,98.2,99.4
"
                     =36
                     
                        
                     
                  ",85.8,Monash University,95.7,100,93,11.3,87.5,86.7,100,91.7,94.7
"
                     =36
                     
                        
                     
                  ",85.8,The University of Tokyo,100,44,69.9,92.4,99.9,100,15.9,92.3,88.8
"
                     =38
                     
                        
                     
                  ",85.6,Columbia University,99.9,98.1,44.5,100,99.9,100,48.5,77.9,98.4
"
                     =38
                     
                        
                     
                  ",85.6,Seoul National University,99.7,27.5,81.2,85.6,99.1,100,13.2,90.8,77.6
