Rank,Score,Name,Acedemik Reputation,Students,Citations_per_faculty,faculty_student_ratio,employer_reputation,employment_outcomes,international_faculty_ratio,sustainability_score,international_research_network
"
                     =237
                     
                        
                     
                  ",51.6,American University of Beirut (AUB),41.5,45.2,37.8,52.3,58.1,98.7,71.4,77.7,68.7
"
                     =237
                     
                        
                     
                  ",51.6,University of Porto,52.5,38.2,73.6,13.6,41.5,61.2,9.2,77.3,94.3
"
                     239
                     
                        
                     
                  ",51.4,Maastricht University,32.8,100,71.7,18.6,33.7,49.6,99.9,80.2,85.6
"
                     =240
                     
                        
                     
                  ",51.3,The Hebrew University of Jerusalem,42.9,33.5,41.9,74.6,36.4,97.1,81.9,65.5,74.2
"
                     =240
                     
                        
                     
                  ",51.3,Victoria University of Wellington,57.2,56.7,44.3,15.7,32.2,77.6,100,83.3,70.1
"
                     242
                     
                        
                     
                  ",51.2,Politecnico di Torino,50.3,57.9,68.1,4.5,64.6,37.8,7.3,73.6,79.1
"
                     243
                     
                        
                     
                  ",51.1,University of Göttingen,57.3,37.9,25.8,87,35.6,51.2,59.2,61,95.2
"
                     =244
                     
                        
                     
                  ",50.9,Hamad bin Khalifa University,14.3,100,100,100,6.8,6.8,100,38.5,75.7
"
                     =244
                     
                        
                     
                  ",50.9,Hong Kong Baptist University,28.3,100,82.3,67.3,21.7,23,99.4,67.5,38.2
"
                     246
                     
                        
                     
                  ",50.7,University College Cork,43.4,75,52.7,22.5,48.1,49.5,86.2,83.8,68.8
"
                     =247
                     
                        
                     
                  ",50.6,Beijing Normal University ,47.6,32.9,98.6,30.3,29.6,18.2,9,55.5,77.1
"
                     =247
                     
                        
                     
                  ",50.6,Dartmouth College,30.7,58.5,56.9,79.9,54.3,87.7,13.5,82.2,46.2
"
                     =247
                     
                        
                     
                  ",50.6,University of Massachusetts Amherst,48.1,46.3,62.4,15.8,40,44.2,77.9,84.5,78.8
"
                     250
                     
                        
                     
                  ",50.4,Vanderbilt University,32.3,50.9,50.6,100,41.8,57.5,48.4,61.8,77.9
"
                     =251
                     
                        
                     
                  ",50.2,Universiti Teknologi PETRONAS (UTP),29.7,29.5,95,44.6,41,5.2,87,50,72.1
"
                     =251
                     
                        
                     
                  ",50.2,University of Strathclyde,37.5,89,57.2,17.8,40.5,46,99.2,84.6,84.5
"
                     =253
                     
                        
                     
                  ",50,Taylor's University,40.2,100,21,69.7,85.2,5.2,73,57.8,53.5
"
                     =253
                     
                        
                     
                  ",50,Technical University of Darmstadt,28.2,92.8,82.2,9.8,41.9,53.5,67.8,78.6,73.8
"
                     255
                     
                        
                     
                  ",49.9,Institut Teknologi Bandung (ITB),58.5,8,5.4,54.7,85.3,68.6,94.7,59.2,39.8
"
                     256
                     
                        
                     
                  ",49.8,Harbin Institute of Technology,33.3,9.2,99.8,42,47.9,35.2,12.9,48.1,73.6
"
                     =257
                     
                        
                     
                  ",49.7,Tianjin University,26.3,33.5,99.9,51.6,37.6,38.7,29.9,56.2,72.5
"
                     =257
                     
                        
                     
                  ",49.7,Université Paris 1 Panthéon-Sorbonne,78,61.2,4.8,6.8,62.2,84.3,39,61.8,70.8
"
                     =259
                     
                        
                     
                  ",49.5,Beijing Institute of Technology,34.3,15.5,96.4,42.7,46.7,22.5,12.3,58.8,75.3
"
                     =259
                     
                        
                     
                  ",49.5,Universidad Nacional de Colombia,81.1,2.2,6.9,6.7,90.9,57.3,8.1,69.3,62.6
"
                     261
                     
                        
                     
                  ",49.4,University of Canterbury | Te Whare Wānanga o Waitaha,48.8,48.1,48.2,12.1,34.7,87.4,100,88.2,60.9
"
                     =262
                     
                        
                     
                  ",49.3,University of Aberdeen,40.1,87.2,42.9,44.9,34.8,30,95.8,87.8,89.7
"
                     =262
                     
                        
                     
                  ",49.3,University of Navarra,40.8,84,25.3,50.6,78.2,80.5,26.8,66.1,58.3
"
                     =262
                     
                        
                     
                  ",49.3,University of Surrey,29.7,88.7,74.4,33.4,30,30.7,98,60.4,86.6
"
                     =265
                     
                        
                     
                  ",49,Charles University,58.5,61.7,14.3,37,55.5,73.2,33.5,76.9,97.2
"
                     =265
                     
                        
                     
                  ",49,Universitat Pompeu Fabra (Barcelona),43.7,40,70.6,19.1,39.5,23,84.7,66.4,75.8
"
                     267
                     
                        
                     
                  ",48.9,Norwegian University of Science And Technology,45.9,17.7,45.1,30.7,33.4,90.5,87.4,80.3,95.2
"
                     268
                     
                        
                     
                  ",48.7,Griffith University,37.7,70.7,75.1,13.3,16.6,26.6,100,91.7,93.4
"
                     =269
                     
                        
                     
                  ",48.5,Middle East Technical University,44.8,31,34.4,12.8,88.7,82.2,18,71.8,79.2
"
                     =269
                     
                        
                     
                  ",48.5,UCSI University,40.7,99,8.6,87.7,70.4,13.3,92.9,61.6,50
"
                     271
                     
                        
                     
                  ",48.3,University of Warsaw,61,15.7,10,59.5,62.8,74.4,13.5,74,85.9
"
                     =272
                     
                        
                     
                  ",48.2,American University of Sharjah,31.7,100,43.8,24.6,65.1,60.6,100,54.4,50.6
"
                     =272
                     
                        
                     
                  ",48.2,North Carolina State University,36.4,25.6,72.9,12.2,47.9,37.7,67.5,86.7,79.8
"
                     =272
                     
                        
                     
                  ",48.2,University of Cologne,45,47.1,43.8,23.6,50.5,64.5,39.3,88.9,92.6
"
                     275
                     
                        
                     
                  ",48.1,University of Virginia,46.5,19.2,36.5,68.2,47.9,91.9,5.3,68.9,82.6
"
                     =276
                     
                        
                     
                  ",48,Sun Yat-sen University,45.4,6.8,72.6,53.4,39,38.8,4.1,56.7,78.4
"
                     =276
                     
                        
                     
                  ",48,University of Milan,65.9,13.4,56.6,10.2,27,63.1,10.8,76.4,85.1
"
                     278
                     
                        
                     
                  ",47.9,University of Sussex,33.8,89.5,60.7,21.4,21,53.6,99,90,86.3
"
                     279
                     
                        
                     
                  ",47.6,Radboud University,38.6,30.1,73.2,34.8,20.3,34.9,83.5,67.7,92.5
"
                     280
                     
                        
                     
                  ",47.4,University of Antwerp,35,45.5,57.7,42.8,18.8,60.3,96.4,80.6,95.2
"
                     =281
                     
                        
                     
                  ",47.3,University of Pittsburgh,45.4,23,41.7,98.1,26.4,59.7,9.9,60.2,90.4
"
                     =281
                     
                        
                     
                  ",47.3,University of Waikato,28.2,79.7,82.1,16.2,18.8,58.4,99.5,84.8,49
"
                     283
                     
                        
                     
                  ",47.2,Dalhousie University,27.1,79.4,76.2,15.8,23.9,39.8,100,85.3,79.9
"
                     284
                     
                        
                     
                  ",47.1,University of Galway,37.3,62.7,24,68.6,40.2,61.2,96.7,82.5,72.9
"
                     =285
                     
                        
                     
                  ",47,Georgetown University,38.2,51.1,21.7,74.2,60.6,96,22.8,69.1,67.4
"
                     =285
                     
                        
                     
                  ",47,University of Macau,18.5,100,99.9,11.7,17.9,56.8,100,52.2,55.1
"
                     =287
                     
                        
                     
                  ",46.8,Universitas Airlangga,52.2,10.8,2.5,69.6,88.3,24,77.3,56.6,52.9
"
                     =287
                     
                        
                     
                  ",46.8,Heriot-Watt University,25.7,97,61.8,27.3,34.8,37,100,77.2,75.7
"
                     =287
                     
                        
                     
                  ",46.8,The University of Arizona,49.3,15.2,47.4,42.8,40.4,54.1,25.4,66.9,93.5
"
                     =287
                     
                        
                     
                  ",46.8,University of Bergen,40.5,37.9,42.5,67.2,13.7,69.5,96.9,65.1,91
"
                     291
                     
                        
                     
                  ",46.4,University of Witwatersrand,36.8,9.4,40.2,14,50.9,99.5,86.8,85.6,96.7
"
                     292
                     
                        
                     
                  ",46.2,Swansea University,34.7,80.5,43,28.6,54.7,13.7,76.9,84.4,79.7
"
                     293
                     
                        
                     
                  ",46.1,"University of California, Irvine",46.6,64.2,53.1,26.8,37.1,28,39.5,64.9,81.9
"
                     =294
                     
                        
                     
                  ",46,Case Western Reserve University,22.4,76.7,66.3,88.6,20.5,40.9,47.6,70.8,58.3
"
                     =294
                     
                        
                     
                  ",46,Swinburne University of Technology,18.8,94.7,95,14.7,19.3,22.8,87.8,73.4,74
"
                     =294
                     
                        
                     
                  ",46,University of Notre Dame,38,32.7,36.7,70.8,43.6,75.4,28.9,72.5,75.4
"
                     =294
                     
                        
                     
                  ",46,Vrije Universiteit Brussel (VUB),33.3,72.1,27.7,75.6,22.1,63.2,96.8,80,92.2
"
                     298
                     
                        
                     
                  ",45.8,Istanbul Technical University,39.6,36.5,35.3,11.5,85.3,79.7,10.4,68.5,76.2
"
                     299
                     
                        
                     
                  ",45.6,University of Colorado Boulder,49,8.5,36,52.1,36.8,48.9,38.6,90.3,85.6
"
                     300
                     
                        
                     
                  ",45.5,Université Paris Cité,37.7,61,92.5,11,13.9,22.8,24.8,55.7,99.5
301,45.4,Universidad Carlos III de Madrid (UC3M),45.2,75.2,8.1,50.5,65.3,26.3,73.8,77.3,67.8
302,45.2,Stellenbosch University,36.7,14.5,67.5,5,44.8,88.9,25.4,61,93.6
=303,45.1,Jagiellonian University,49.9,30,10.4,75.3,54.4,61.5,8,71.6,88.6
=303,45.1,University of Southern Denmark (SDU),29.2,46.4,68.4,31.9,24.9,27,91.7,85,77.4
305,45,Xi’an Jiaotong University,28.5,6.8,97.8,15.9,44.2,34.9,5.5,55.8,82.9
=306,44.9,Aalborg University,26.4,29.4,77.2,27.7,25,25.4,89,79.1,91.7
=306,44.9,Indiana University Bloomington,44.7,18.4,31.2,34.4,50.3,77,51.7,66,86.5
=308,44.7,Simon Fraser University,34.9,86.1,59.6,7.6,20.7,34,99.1,85.2,78.4
=308,44.7,University of Johannesburg,25.5,60.1,45.2,46.5,25.9,69.6,98.5,74.8,99.1
=310,44.5,"City St George’s, University of London",26.9,97.9,57.8,9.2,32.3,65.8,92.4,62.3,77.2
=310,44.5,Linköping University,25.4,46.3,55.2,50.2,32.2,50.8,85.8,68.2,81.5
"
                     =310
                     
                        
                     
                  ",44.5,Ulsan National Institute of Science and Technology (UNIST),21.8,15.5,99.5,92.5,16.3,3.9,37.4,57.5,26.7
"
                     =310
                     
                        
                     
                  ",44.5,Universität Stuttgart,33.4,60.9,64.2,11,46.1,35.8,44.8,74.2,69.7
"
                     =314
                     
                        
                     
                  ",44.3,University of Miami,24.5,25.1,48.4,57.9,40.3,59.6,87.8,64.6,85.2
"
                     =314
                     
                        
                     
                  ",44.3,University of Tasmania,22.5,91.7,72.8,34.3,12.2,25,87.1,84,80.4
"
                     316
                     
                        
                     
                  ",44,Goethe-University Frankfurt am Main,52.1,30,31.7,27,38.6,28.7,54.9,82.9,87.7
"
                     =317
                     
                        
                     
                  ",43.9,L.N. Gumilyov Eurasian National University (ENU),40.1,25.8,2,94.7,85.8,7.5,84.6,46.6,31.4
"
                     =317
                     
                        
                     
                  ",43.9,Universidade Federal do Rio de Janeiro,73,2.3,13.8,18.2,36.2,89.9,10.3,70.9,81
"
                     319
                     
                        
                     
                  ",43.8,Huazhong University of Science and Technology,30.9,5.2,100,11.6,33.4,33.5,7.1,55.7,80.3
"
                     320
                     
                        
                     
                  ",43.5,Bauman Moscow State Technical University,41.1,85.8,2,99.9,63.8,10.1,81,47.6,14.2
"
                     321
                     
                        
                     
                  ",43.4,Université Grenoble Alpes,55.3,47.9,51.8,10.4,19.2,31.8,30.9,60,94.1
"
                     322
                     
                        
                     
                  ",43.3,University of Tehran,31,3.3,91.1,4.2,41.8,58.1,2.5,45.5,86.8
"
                     323
                     
                        
                     
                  ",43.1,Koç University,36,22.2,52.6,21,77.5,10.8,30.1,62.4,50.4
"
                     =324
                     
                        
                     
                  ",43,Sichuan University,30.8,9.2,99.9,14,34.5,21,9.7,45.3,72.9
"
                     =324
                     
                        
                     
                  ",43,University of Jordan,47.9,64.5,7.3,28.9,59.8,90.1,33.8,64.1,69.2
"
                     326
                     
                        
                     
                  ",42.9,University of Leicester,29.6,90.6,44.2,40.1,17.7,31,90.6,81.2,91.1
"
                     327
                     
                        
                     
                  ",42.8,Universidade Nova de Lisboa,40.1,77.7,37.6,18.1,42.6,59.4,27.2,66.9,84.1
"
                     =328
                     
                        
                     
                  ",42.6,Rutgers University–New Brunswick,47.7,38.8,16.5,53.4,45.8,44.6,24.1,87.5,75.3
"
                     =328
                     
                        
                     
                  ",42.6,University of Delhi,46.9,2.8,47.1,6.9,41.9,98.9,1.8,71.2,83
"
                     =328
                     
                        
                     
                  ",42.6,University of Sharjah,28.5,100,52.2,9.3,34.9,19.3,100,58.8,84.8
"
                     =331
                     
                        
                     
                  ",42.5,Kyung Hee University,34.6,68.5,25.9,86.2,43,21.6,19.8,74.9,66.8
"
                     =331
                     
                        
                     
                  ",42.5,Satbayev University,40.6,53.7,1.7,94.2,58.8,33,89.2,48.7,25.7
"
                     333
                     
                        
                     
                  ",42.4,York University,33.4,78.9,37.8,5,31.7,82.2,87.3,84.5,73.5
"
                     =334
                     
                        
                     
                  ",42.3,Indian Institute of Technology Guwahati (IITG),25.4,1.6,96.9,10.2,62,8.7,8.1,43,53.1
"
                     =334
                     
                        
                     
                  ",42.3,Sultan Qaboos University,28.9,6,39.5,62.3,25.9,70,100,69.6,80.9
"
                     =334
                     
                        
                     
                  ",42.3,Tufts University,23.8,48.3,52.5,65.6,21.2,69.3,42.9,86.3,67
"
                     =334
                     
                        
                     
                  ",42.3,Universidad Politécnica de Madrid (UPM),43,45.2,19.6,24.8,67.8,69.4,4.3,70.7,81.9
"
                     =334
                     
                        
                     
                  ",42.3,University of Illinois Chicago (UIC),48.8,28.4,39.2,33.1,40.3,36.4,11,66.9,82.3
"
                     =339
                     
                        
                     
                  ",42.2,Indian Institute of Technology Roorkee (IITR),26.8,3.6,96.6,9.5,52.2,19.5,2,57.5,54.5
"
                     =339
                     
                        
                     
                  ",42.2,Shandong University,22.8,5.7,97.1,21.8,39,26.8,11.2,57.5,72.8
"
                     341
                     
                        
                     
                  ",42.1,Xiamen University,34.3,9.3,83.9,25,24.2,54.4,10.8,54.1,64.7
"
                     342
                     
                        
                     
                  ",42,University of Oulu,23,19.7,74.5,29.5,21.8,30.6,80.9,75.2,87.9
"
                     =343
                     
                        
                     
                  ",41.8,Southern University of Science and Technology (SUSTech),14.9,2.8,100,87.5,9.4,1.3,42.7,65.5,47.2
"
                     =343
                     
                        
                     
                  ",41.8,University of Pisa,51.6,10.5,59.6,12.8,26.3,25.1,5,72.8,84.6
"
                     =345
                     
                        
                     
                  ",41.7,National Taiwan University of Science and Technology (Taiwan Tech),36.7,35.3,46.8,50.6,48.6,25.4,31.3,56.8,45.6
"
                     =345
                     
                        
                     
                  ",41.7,Pontificia Universidad Catolica del Peru (PUCP),63.1,1.9,2.3,50,66.7,50.6,4.2,59.7,44.4
"
                     =347
                     
                        
                     
                  ",41.6,Cairo University,60.8,14.4,6,13.8,52.7,98,4.2,66.6,88.9
"
                     =347
                     
                        
                     
                  ",41.6,Tilburg University,20.5,77.4,67.1,16.8,37.1,23.1,99,50.6,61.1
"
                     =347
                     
                        
                     
                  ",41.6,University of Coimbra,39.2,33.3,61.4,14.9,24.9,47.6,13.1,75.8,92.2
"
                     =350
                     
                        
                     
                  ",41.5,Technion - Israel Institute of Technology,32.2,10.6,33.3,67.3,35.6,65.9,91.1,53.2,57.5
"
                     =350
                     
                        
                     
                  ",41.5,University of Tsukuba,49.9,31.1,30,58.9,32.9,18.1,18.1,73.4,68.4
"
                     =350
                     
                        
                     
                  ",41.5,Universität Innsbruck,27.7,100,17.7,76.9,12.3,69.9,100,74.7,73.9
"
                     =350
                     
                        
                     
                  ",41.5,University of Münster,42.3,8.4,15.5,79.6,41.5,45.3,35.6,74.6,82.5
"
                     354
                     
                        
                     
                  ",41.3,Quaid-i-Azam University,24,3.1,97.5,5.3,47.6,27.8,9.8,46.9,67.5
"
                     =355
                     
                        
                     
                  ",41.2,Nankai University,27.1,5,93.9,28.8,24.4,47.3,17.8,44.9,56.1
"
                     =355
                     
                        
                     
                  ",41.2,National Technical University of Athens,28.2,9.6,80.9,5.9,51.2,51.4,n/a,49.3,72
"
                     =355
                     
                        
                     
                  ",41.2,"University of Rome ""Tor Vergata""",40.7,58.8,65.5,14.9,25.2,8.5,19.7,70.3,71.7
"
                     =358
                     
                        
                     
                  ",41.1,George Washington University,31.7,39.2,43.4,30.3,45.8,85.8,13,60,78.7
"
                     =358
                     
                        
                     
                  ",41.1,Mahidol University,59.4,9.1,9,82.4,38.8,17.4,8.5,61.2,67.9
"
                     =358
                     
                        
                     
                  ",41.1,University of Victoria (UVic),25.6,46,78.7,6.2,17.3,21.2,97.2,79.9,61.3
"
                     =358
                     
                        
                     
                  ",41.1,Virginia Polytechnic Institute and State University,34.5,27.9,38.7,26.3,39.4,41.1,81.6,68.2,86.1
"
                     =362
                     
                        
                     
                  ",40.9,University of Chinese Academy of Sciences (UCAS),30.9,3.9,75.1,100,11.9,15.6,n/a,n/a,93.7
"
                     =362
                     
                        
                     
                  ",40.9,University of Pretoria,32.3,17.4,31.2,6.2,55.1,84.8,57.2,80.1,97.6
"
                     =362
                     
                        
                     
                  ",40.9,University of Tartu,28.6,20.8,19.1,94.6,23.7,89.2,62.1,64.2,89
"
                     =362
                     
                        
                     
                  ",40.9,University of the Philippines,50.6,1.2,3.2,42.7,71.1,80.8,2.4,68.9,66.4
"
                     366
                     
                        
                     
                  ",40.6,University of Turku,36.3,8.9,39.6,63.2,20.2,46.1,46.2,74.4,89.2
"
                     =367
                     
                        
                     
                  ",40.5,RUDN University,28.4,95.3,3.9,94,61.2,14.3,10.9,58.9,88.3
"
                     =367
                     
                        
                     
                  ",40.5,Sciences Po,24.6,98.2,4.7,81.1,51.5,98,61.8,54.5,29.6
"
                     =367
                     
                        
                     
                  ",40.5,Universiti Brunei Darussalam (UBD),29.9,43.5,22.5,94.2,20.5,58.2,100,52.4,53
"
                     370
                     
                        
                     
                  ",40.4,Daegu Gyeongbuk Institute of Science and Technology (DGIST),17,7.3,100,82.3,28.1,2.5,5.1,42.8,15.8
"
                     =371
                     
                        
                     
                  ",40.3,Bogaziçi Üniversitesi,36.2,7.5,23.7,5.1,85.8,88.7,28.2,68.5,49
"
                     =371
                     
                        
                     
                  ",40.3,National University of Sciences & Technology (NUST) Islamabad,29.3,5,32.3,66.7,76.3,3.4,5.7,63.3,76.6
"
                     =371
                     
                        
                     
                  ",40.3,Pontificia Universidad Javeriana,60.5,3.7,2.7,37.8,61.8,83.1,3.8,58.6,38.7
"
                     374
                     
                        
                     
                  ",40,Oxford Brookes University,38.7,89.8,12.4,14.8,62.3,26,80.8,59.8,61.8
"
                     =375
                     
                        
                     
                  ",39.9,Saint Petersburg State University,42.2,52.2,7.9,65.8,43.6,80.1,6.7,44.6,83.7
"
                     =375
                     
                        
                     
                  ",39.9,Sharif University of Technology,17.8,1.6,99.2,8.2,48.2,38.7,2.6,38.7,68.4
"
                     377
                     
                        
                     
                  ",39.8,South China University of Technology,18.8,10.5,99.3,29.4,20.8,40.4,15.9,50.1,64.8
"
                     378
                     
                        
                     
                  ",39.6,University of Saskatchewan,16,65.4,71.9,21.1,10.2,44.3,82.4,83.6,77.3
"
                     =379
                     
                        
                     
                  ",39.5,University of Naples - Federico II,47.8,1.2,59.5,6.8,32.8,12.5,2.9,57.5,94.9
"
                     =379
                     
                        
                     
                  ",39.5,Université de Liège,24.4,65.6,63.2,10.8,16.9,32.9,62.1,79.7,95.2
"
                     =381
                     
                        
                     
                  ",39.4,The American University in Cairo,40.8,7.1,12.2,39,46.9,88.6,98,51.6,46.8
"
                     =381
                     
                        
                     
                  ",39.4,University of East Anglia (UEA),24.7,49.3,55.5,24,15,31.8,81.9,91.1,86.8
"
                     =381
                     
                        
                     
                  ",39.4,University of Luxembourg,13.2,100,39.5,87.2,8.2,58.8,100,42.4,68.1
"
                     384
                     
                        
                     
                  ",39.3,Northeastern University,28,95.8,33.7,23.3,31.3,54.3,63.3,80.2,66.3
"
                     =385
                     
                        
                     
                  ",39.1,Brunel University of London,17.6,100,51.8,12.2,25.2,28.8,99.5,80.4,76.7
"
                     =385
                     
                        
                     
                  ",39.1,Gwangju Institute of Science and Technology (GIST),21.3,18.5,99.9,56.7,12.4,2.2,15.7,55.3,28.9
"
                     387
                     
                        
                     
                  ",39,Flinders University,19.6,97.3,64.3,11.3,9.7,15.5,97.9,81.6,77.3
"
                     =388
                     
                        
                     
                  ",38.5,Beihang University (former BUAA),18.3,8.3,91.6,57.8,23.5,20.9,9.5,36.7,50.1
"
                     =388
                     
                        
                     
                  ",38.5,"Birkbeck, University of London",15.5,98.7,79.6,19.1,5.9,17.7,98.9,45.6,60.1
"
                     390
                     
                        
                     
                  ",38.4,National and Kapodistrian University of Athens,34.9,27.2,45.1,3,38.9,88.9,12.7,64.3,79.7
"
                     391
                     
                        
                     
                  ",38.3,Abu Dhabi University,24.6,99.9,35.9,23.9,49.8,10.1,100,49.6,34.5
"
                     =392
                     
                        
                     
                  ",38.2,Sejong University,16.3,50.7,92.2,16.3,19.4,1.8,32.4,61.3,77.8
"
                     =392
                     
                        
                     
                  ",38.2,Southeast University,21.1,6.1,93.6,24.5,20.8,9.6,31.6,45,76.9
"
                     =392
                     
                        
                     
                  ",38.2,Universitat Politècnica de Catalunya · BarcelonaTech (UPC),40.8,31,27,42.5,32.8,35.7,16.7,77,84
"
                     =395
                     
                        
                     
                  ",38.1,Aston University,18.1,63.4,56.7,12,27.1,28.3,97.9,67.6,81.8
"
                     =395
                     
                        
                     
                  ",38.1,Ruhr-Universität Bochum,29.1,55.6,65.8,3.9,11.8,21.4,59.3,72.5,90
"
                     =397
                     
                        
                     
                  ",37.7,Lappeenranta-Lahti University of Technology LUT,8.7,58.1,95.9,11.9,15.7,10.4,70.1,72.2,54.4
"
                     =397
                     
                        
                     
                  ",37.7,University of Kent,20.2,49.2,58.3,16.2,13.8,44,96.4,65.5,88
"
                     399
                     
                        
                     
                  ",37.6,IPB University (aka Bogor Agricultural University),35.1,6,3,82.9,56,45.3,73.7,63.2,26.2
"
                     400
                     
                        
                     
                  ",37.5,Western Sydney University,26.3,67.7,44.5,7.4,22.5,11.8,100,82.6,87.3
"
                     =401
                     
                        
                     
                  ",37.4,Umea University,27.2,37.5,25,80.7,20.2,11.9,77.2,77.1,76.9
"
                     =401
                     
                        
                     
                  ",37.4,University of Granada,59.3,31.7,26.3,11.2,24.3,13.1,9.9,58.4,96.4
"
                     =401
                     
                        
                     
                  ",37.4,University of Limerick,27.9,48.4,34.5,23.6,36.6,14.7,93.2,75.9,71.6
"
                     =404
                     
                        
                     
                  ",37.2,Sabanci University,26.5,28,39.2,40,62.6,12.8,51.2,50.1,35.5
"
                     =404
                     
                        
                     
                  ",37.2,University of Florence,45.1,20.8,49.7,7,16.9,36.9,11.2,72.9,86.1
"
                     406
                     
                        
                     
                  ",37.1,Institut National des Sciences Appliquées de Lyon (INSA),9.4,77.5,69,42.7,38,17.8,34.4,39.1,58.7
"
                     407
                     
                        
                     
                  ",37,Lincoln University,13.3,99.6,62.6,32.4,10.7,45.1,100,62,25.4
"
                     408
                     
                        
                     
                  ",36.9,University of Turin,48.1,10.1,42.5,5.1,14.3,61.4,5.2,78.7,90
"
                     409
                     
                        
                     
                  ",36.8,Università Cattolica del Sacro Cuore,33.1,13.9,40.3,28.7,43.1,42.7,17.1,62,72.4
"
                     =410
                     
                        
                     
                  ",36.7,Auckland University of Technology (AUT),29.6,100,33.2,13.7,22.5,23.4,100,74,50.4
"
                     =410
                     
                        
                     
                  ",36.7,Dublin City University,29.2,43.2,22,27.8,37.5,40.2,80.8,79.7,78
"
                     =410
                     
                        
                     
                  ",36.7,Sunway University,20.9,66.9,25.2,56.9,53.3,5.1,57.1,61.2,61.4
"
                     =410
                     
                        
                     
                  ",36.7,University at Buffalo SUNY,26.3,52.5,53,10.7,19.1,43.7,51.5,82.7,74.1
"
                     =410
                     
                        
                     
                  ",36.7,University of Southern Queensland,11,48.7,90.1,7.9,8.2,11,78.5,65.5,82.2
"
                     415
                     
                        
                     
                  ",36.6,Bilkent University,33.8,7.6,27.7,14.5,73.3,27,61.6,51.7,40.5
"
                     =416
                     
                        
                     
                  ",36.5,Czech Technical University in Prague,26.8,56,6.2,89.4,51.3,23.1,28.7,53.6,69.4
"
                     =416
                     
                        
                     
                  ",36.5,Julius-Maximilians-Universität Würzburg,21.4,19.7,87,8.9,9.9,17,60.1,50.2,78.3
"
                     =416
                     
                        
                     
                  ",36.5,Universität Mannheim,20.3,41.2,42.4,4.6,76.3,45,55.7,51.3,25.7
"
                     419
                     
                        
                     
                  ",36.4,University of Aveiro,18.6,24.8,94.7,13.1,15.5,3.3,5.2,64.7,85.5
"
                     =420
                     
                        
                     
                  ",36.3,National Taipei University of Technology,18.2,31.7,58.8,28.6,57.6,29.2,25.6,58.9,25.6
"
                     =420
                     
                        
                     
                  ",36.3,Université de Strasbourg,50.1,45.4,31.5,7.3,16.3,29.8,41.7,47.3,90.7
"
                     422
                     
                        
                     
                  ",36.2,Universitat Politecnica de Valencia,38,41.5,31.2,35.3,27.6,22.4,7.7,79.5,85.8
"
                     =423
                     
                        
                     
                  ",36.1,Murdoch University,13,82.5,73.9,7.4,8.7,24.9,89.6,53.4,75.1
"
                     =423
                     
                        
                     
                  ",36.1,Tampere University,29.2,13.9,47.7,24.8,24.7,42.1,61.6,49.2,84
"
                     =423
                     
                        
                     
                  ",36.1,Università degli Studi di Pavia,29.4,24.6,72.3,13.5,12.9,20.4,8.4,74.9,80.4
"
                     =423
                     
                        
                     
                  ",36.1,Washington State University,28.7,9.2,42.7,23.1,39.9,15.5,50.7,78.5,77.9
"
                     427
                     
                        
                     
                  ",36,Graz University of Technology,21.9,71.3,18.8,99.2,22.1,15.2,86.6,42.6,52.3
"
                     =428
                     
                        
                     
                  ",35.9,Aix-Marseille University,51,29,29.7,11,15.9,29,22.8,63.2,99
"
                     =428
                     
                        
                     
                  ",35.9,University of Dundee,25.5,84.4,20.6,44.8,21.3,13.9,92,78.6,78.7
"
                     =430
                     
                        
                     
                  ",35.7,Masaryk University,32.3,76.8,18.8,13.1,37.3,58.8,34.5,77,79.8
"
                     =430
                     
                        
                     
                  ",35.7,Universitat de Valencia,49.7,39.4,31,17.3,17.2,16.5,2.7,74.1,91.4
"
                     =430
                     
                        
                     
                  ",35.7,Université de Montpellier,26.7,42.8,72.3,11.7,4.9,18.8,29,55.3,99.4
"
                     =433
                     
                        
                     
                  ",35.6,East China Normal University,19.9,15.7,82.1,20.2,16.4,14.5,46.7,47.7,69.2
"
                     =433
                     
                        
                     
                  ",35.6,Leibniz University Hannover,29.6,33.3,33.7,19.9,37.2,20.3,54.7,78.7,80.5
"
                     435
                     
                        
                     
                  ",35.4,National Taiwan Normal University (NTNU),47.8,39.6,9.6,68.3,28.2,29,19.7,68.2,24.1
"
                     =436
                     
                        
                     
                  ",35.2,Prince Mohammad Bin Fahd university,22.5,29.6,54.7,33.1,33.6,3.3,100,37.4,32.3
"
                     =436
                     
                        
                     
                  ",35.2,Universitat Ramon Llull,17.5,68,15.5,10.3,72.5,81.2,80.4,56.7,31.3
"
                     438
                     
                        
                     
                  ",35.1,IE University,12.7,100,3.8,47.6,70.4,70.4,94,53,6.4
"
                     439
                     
                        
                     
                  ",35,National Sun Yat-sen University,36.8,16.5,38,35.6,32.1,14.7,35.5,67,46.4
"
                     =440
                     
                        
                     
                  ",34.9,Ajman University,27.8,100,10.2,15.7,51.3,12.8,100,46.2,65.2
"
                     =440
                     
                        
                     
                  ",34.9,HSE University,28.1,24,2.7,92,52.9,19.4,10.2,57.6,84.7
"
                     =440
                     
                        
                     
                  ",34.9,James Cook University,21,37.6,60.3,27.5,11,11.2,46.9,81.9,83.8
"
                     =440
                     
                        
                     
                  ",34.9,Macau University of Science and Technology,7.4,100,79.5,4.8,10.9,36.8,100,52,23.9
