╒═══════════════════╤═══════╤═══════╕
│ Algorithm         │    R2 │   MAE │
╞═══════════════════╪═══════╪═══════╡
│ Decision Tree     │ -0.76 │  5.05 │
├───────────────────┼───────┼───────┤
│ Random Forest     │  0.24 │  3.29 │
├───────────────────┼───────┼───────┤
│ Gradient Boosting │  0.19 │  3.42 │
├───────────────────┼───────┼───────┤
│ XGBoost           │  0.22 │  3.35 │
╘═══════════════════╧═══════╧═══════╛
