WIND,IND,RAIN,IND.1,T.MAX,IND.2,T.MIN,T.MIN.G,T_AVG,IS_RAINIY,IS_FROST
22.0,0.0,0.09253731343283582,0.0,0.4721189591078067,0.0,0.5389830508474577,0.5165562913907285,0.42780748663101614,1.0,0.0
14.5,0.0,0.0208955223880597,0.0,0.2936802973977695,0.0,0.5152542372881356,0.5033112582781456,0.2085561497326204,1.0,0.0
14.88,0.0,0.07014925373134329,0.0,0.2713754646840149,0.0,0.4610169491525424,0.4602649006622516,0.2620320855614974,1.0,1.0
10.17,0.0,0.03134328358208955,0.0,0.3271375464684015,0.0,0.42372881355932207,0.4039735099337748,0.4010695187165776,1.0,1.0
10.88,0.0,0.0014925373134328358,0.0,0.3048327137546469,0.0,0.42372881355932207,0.509933774834437,0.36898395721925137,1.0,0.0
8.5,0.0,0.05970149253731343,0.0,0.3048327137546469,0.25,0.3694915254237288,0.3112582781456953,0.45454545454545464,1.0,1.0
12.54,0.0,0.08507462686567165,0.0,0.4237918215613384,0.0,0.3898305084745763,0.4403973509933774,0.5935828877005349,1.0,1.0
13.96,0.0,0.12835820895522387,0.0,0.5055762081784387,0.0,0.5491525423728814,0.5463576158940396,0.4598930481283424,1.0,0.0
19.17,0.0,0.007462686567164179,0.0,0.2936802973977695,0.0,0.4610169491525424,0.5264900662251655,0.29411764705882354,1.0,0.0
14.21,0.0,0.004477611940298507,0.0,0.4349442379182157,0.0,0.49830508474576274,0.49999999999999994,0.4385026737967915,1.0,0.0
16.5,0.0,0.06567164179104477,0.0,0.5464684014869888,0.0,0.5389830508474577,0.5562913907284768,0.5347593582887702,1.0,0.0
14.37,0.0,0.004477611940298507,0.0,0.43866171003717475,0.0,0.6067796610169491,0.5827814569536423,0.2727272727272727,1.0,0.0
11.08,0.0,0.011940298507462687,0.0,0.40148698884758366,0.0,0.6372881355932203,0.5794701986754967,0.17112299465240646,1.0,0.0
17.5,0.0,0.05223880597014925,0.0,0.4237918215613384,0.0,0.6372881355932203,0.6026490066225165,0.20320855614973277,1.0,0.0
11.71,0.0,0.0,0.0,0.5799256505576209,0.0,0.6305084745762712,0.619205298013245,0.4385026737967916,0.0,0.0
16.08,0.0,0.0,0.0,0.47583643122676583,0.0,0.688135593220339,0.6754966887417218,0.19786096256684493,0.0,0.0
15.46,0.0,0.0,0.0,0.49814126394052055,0.0,0.728813559322034,0.7317880794701985,0.16577540106951882,0.0,0.0
5.17,0.0,0.0,0.0,0.5167286245353161,0.0,0.4745762711864407,0.3675496688741722,0.5935828877005349,0.0,1.0
3.42,0.0,0.0,0.0,0.4535315985130112,0.0,0.4745762711864407,0.390728476821192,0.502673796791444,0.0,1.0
6.17,0.0,0.0,0.0,0.43866171003717475,0.0,0.5389830508474577,0.4635761589403973,0.3796791443850268,0.0,1.0
10.88,0.0,0.0,0.0,0.49814126394052055,0.0,0.5932203389830508,0.619205298013245,0.37967914438502687,0.0,0.0
9.62,0.0,0.0,0.0,0.5427509293680298,0.0,0.6677966101694914,0.4635761589403973,0.3262032085561498,0.0,1.0
7.25,0.0,0.0,0.0,0.49070631970260226,0.0,0.5694915254237288,0.42715231788079466,0.40641711229946537,0.0,1.0
